"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:51:43:463","79128622407012","   0.501","   2.595"," 2234"," 1100"," 3300"," 2272","   4.033","   2.021","   0.561","   1.352","   0.678","   0.188"," 32","0"," 31"," 48","  39.383","  31.000","   8.611","  45.000","  350","    0"
"07:51:43:977","79129802942848","   1.016","  27.760"," 3041"," 1100"," 3300"," 3074","  17.377","  10.961","   3.045","  14.169","   7.967","   2.213"," 48","0"," 31"," 52","  44.334","  62.000","  17.222","  45.000","  350","    0"
"07:51:44:479","79130954923323","   1.518","  22.901"," 3051"," 1200"," 3300"," 3090","  15.799","  18.892","   5.248","  12.636","  14.310","   3.975"," 53","0"," 35"," 53","  44.607","  97.000","  26.944","  45.000","  350","    0"
"07:51:44:981","79132107248553","   2.020","  21.871"," 3000"," 1100"," 3300"," 3035","  15.135","  26.492","   7.359","  11.964","  20.318","   5.644"," 47","0"," 37"," 53","  44.673"," 134.000","  37.222","  45.000","  350","    0"
"07:51:45:482","79133255782111","   2.520","  39.579"," 3037"," 1000"," 3300"," 3067","  19.351","  36.178","  10.049","  15.943","  28.297","   7.860"," 49","0"," 36"," 55","  47.107"," 170.000","  47.222","  45.000","  350","    0"
"07:51:45:987","79134415899322","   3.026","  37.190"," 3065"," 1200"," 3300"," 3093","  19.684","  46.129","  12.814","  16.472","  36.624","  10.173"," 50","0"," 38"," 55","  47.546"," 208.000","  57.778","  45.000","  350","    0"
"07:51:46:493","79135577131287","   3.532","  20.208"," 2836"," 1100"," 3300"," 2884","  12.712","  52.561","  14.600","   9.314","  41.338","  11.483"," 46","0"," 36"," 52","  45.246"," 244.000","  67.778","  45.000","  350","    0"
"07:51:46:998","79136735970082","   4.037","  19.320"," 2696"," 1100"," 3300"," 2733","  10.593","  57.911","  16.086","   7.472","  45.111","  12.531"," 45","0"," 36"," 53","  44.718"," 280.000","  77.778","  45.000","  350","    0"
"07:51:47:506","79137901918621","   4.545","   4.054"," 1809"," 1100"," 3300"," 1832","   4.013","  59.950","  16.653","   1.401","  45.822","  12.728"," 45","0"," 36"," 47","  42.282"," 316.000","  87.778","  45.000","  350","    0"
"07:51:48:009","79139055017108","   5.047","   4.004"," 1752"," 1100"," 3300"," 1767","   4.033","  61.977","  17.216","   1.414","  46.533","  12.926"," 41","0"," 35"," 49","  42.348"," 351.000","  97.500","  45.000","  350","    0"
"07:51:48:510","79140206322177","   5.549","  11.879"," 2361"," 1100"," 3300"," 2633","   9.436","  66.711","  18.531","   6.609","  49.848","  13.847"," 47","0"," 35"," 51","  42.624"," 386.000"," 107.222","  45.000","  350","    0"
