"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:47:49:475","70330227986039","   0.501","   0.713"," 1645"," 1100"," 2800"," 1655","   3.085","   1.546","   0.429","   0.450","   0.225","   0.063"," 31","0"," 31"," 44","  39.388","  31.000","   8.611","  45.000","  350","    0"
"06:47:49:987","70331400960234","   1.012","  28.148"," 3050"," 1100"," 3300"," 3087","  17.502","  10.492","   2.915","  14.409","   7.591","   2.109"," 44","0"," 31"," 51","  43.842","  62.000","  17.222","  45.000","  350","    0"
"06:47:50:493","70332563524161","   1.519","  19.828"," 3002"," 1100"," 3300"," 3046","  13.909","  17.539","   4.872","  10.792","  13.058","   3.627"," 47","0"," 34"," 49","  43.073","  96.000","  26.667","  45.000","  350","    0"
"06:47:50:995","70333716026848","   2.021","  23.959"," 3043"," 1100"," 3300"," 3077","  16.091","  25.620","   7.117","  12.921","  19.548","   5.430"," 45","0"," 36"," 51","  43.770"," 132.000","  36.667","  45.000","  350","    0"
"06:47:51:505","70334885153007","   2.531","  28.683"," 2958"," 1100"," 3300"," 2992","  15.931","  33.737","   9.371","  12.625","  25.980","   7.217"," 49","0"," 36"," 52","  44.836"," 168.000","  46.667","  45.000","  350","    0"
"06:47:52:012","70336050005789","   3.038","  48.158"," 3056","  800"," 3300"," 3084","  22.564","  45.190","  12.553","  19.107","  35.679","   9.911"," 49","0"," 39"," 55","  47.409"," 207.000","  57.500","  45.000","  350","    0"
"06:47:52:515","70337203246728","   3.541","   9.526"," 2405"," 1100"," 3300"," 2458","   6.709","  48.562","  13.489","   3.938","  37.658","  10.461"," 46","0"," 36"," 52","  43.409"," 243.000","  67.500","  45.000","  350","    0"
"06:47:53:021","70338365024419","   4.047","  19.338"," 2868"," 1100"," 3300"," 2899","  11.538","  54.403","  15.112","   8.281","  41.850","  11.625"," 46","0"," 36"," 50","  44.404"," 279.000","  77.500","  45.000","  350","    0"
"06:47:53:524","70339519047011","   4.550","  14.605"," 2703"," 1100"," 3300"," 2742","   9.290","  59.075","  16.410","   6.298","  45.018","  12.505"," 44","0"," 36"," 49","  43.236"," 315.000","  87.500","  45.000","  350","    0"
"06:47:54:027","70340673278958","   5.053","   4.907"," 1833"," 1100"," 3300"," 1844","   4.350","  61.263","  17.018","   1.718","  45.882","  12.745"," 42","0"," 35"," 50","  42.217"," 350.000","  97.222","  45.000","  350","    0"
"06:47:54:528","70341823087478","   5.554","   6.786"," 2013"," 1100"," 3300"," 2269","   5.889","  64.214","  17.837","   3.193","  47.481","  13.189"," 44","0"," 35"," 48","  41.430"," 385.000"," 106.944","  45.000","  350","    0"
"06:47:55:031","70342976224099","   6.056","  12.092"," 2425"," 1100"," 3300"," 2597","   9.160","  68.817","  19.116","   6.273","  50.634","  14.065"," 43","0"," 35"," 47","  42.672"," 420.000"," 116.667","  45.000","  350","    0"
"06:47:55:532","70344125745065","   6.557","   2.952"," 1530"," 1100"," 2300"," 1536","   3.576","  70.608","  19.613","   0.914","  51.092","  14.192"," 37","0"," 35"," 45","  40.776"," 455.000"," 126.389","  45.000","  350","    0"
"06:47:56:034","70345279780612","   7.060","   1.527"," 1436"," 1100"," 2400"," 1436","   3.197","  72.216","  20.060","   0.594","  51.391","  14.275"," 40","0"," 35"," 44","  39.069"," 490.000"," 136.111","  45.000","  350","    0"
"06:47:56:537","70346434052476","   7.563","   1.840"," 1464"," 1100"," 2800"," 1477","   3.290","  73.871","  20.520","   0.679","  51.732","  14.370"," 43","0"," 35"," 45","  39.471"," 525.000"," 145.833","  45.000","  350","    0"
"06:47:57:040","70347588052240","   8.066","   1.899"," 1491"," 1100"," 2300"," 1501","   3.328","  75.544","  20.985","   0.712","  52.090","  14.470"," 42","0"," 36"," 44","  40.233"," 561.000"," 155.833","  45.000","  350","    0"
"06:47:57:543","70348742142944","   8.569","   1.071"," 1544"," 1100"," 2800"," 1566","   3.110","  77.108","  21.419","   0.508","  52.346","  14.541"," 37","0"," 32"," 44","  39.325"," 593.000"," 164.722","  45.000","  350","    0"
"06:47:58:046","70349896341732","   9.072","   1.013"," 1469"," 1100"," 2300"," 1470","   3.050","  78.643","  21.845","   0.464","  52.579","  14.605"," 40","0"," 32"," 44","  38.421"," 625.000"," 173.611","  45.000","  350","    0"
"06:47:58:547","70351045903419","   9.573","   1.665"," 1587"," 1100"," 2300"," 1607","   3.239","  80.265","  22.296","   0.631","  52.895","  14.693"," 38","0"," 32"," 46","  40.003"," 657.000"," 182.500","  45.000","  350","    0"
"06:47:59:057","70352216444958","  10.083","   0.834"," 1574"," 1100"," 2500"," 1582","   3.033","  81.812","  22.726","   0.451","  53.125","  14.757"," 35","0"," 32"," 43","  37.464"," 689.000"," 191.389","  45.000","  350","    0"
"06:47:59:560","70353371337688","  10.586","   0.856"," 1496"," 1100"," 2500"," 1509","   3.023","  83.334","  23.148","   0.441","  53.347","  14.819"," 39","0"," 32"," 43","  38.252"," 721.000"," 200.278","  45.000","  350","    0"
"06:48:00:063","70354525341919","  11.089","   1.081"," 1521"," 1100"," 2400"," 1524","   3.076","  84.881","  23.578","   0.491","  53.594","  14.887"," 41","0"," 32"," 43","  37.546"," 753.000"," 209.167","  45.000","  350","    0"
"06:48:00:566","70355679397394","  11.592","   1.468"," 1526"," 1100"," 2500"," 1534","   3.184","  86.482","  24.023","   0.570","  53.881","  14.967"," 32","0"," 32"," 44","  39.474"," 785.000"," 218.056","  45.000","  350","    0"
"06:48:01:069","70356833648153","  12.095","   0.683"," 1502"," 1100"," 2300"," 1500","   2.989","  87.986","  24.440","   0.405","  54.085","  15.024"," 38","0"," 32"," 44","  37.610"," 817.000"," 226.944","  45.000","  350","    0"
"06:48:01:571","70357984710477","  12.596","   1.309"," 1447"," 1100"," 2400"," 1464","   3.128","  89.555","  24.876","   0.562","  54.367","  15.102"," 41","0"," 32"," 44","  38.475"," 849.000"," 235.833","  45.000","  350","    0"
"06:48:02:074","70359138851804","  13.099","   0.979"," 1497"," 1100"," 2600"," 1502","   3.028","  91.077","  25.299","   0.475","  54.605","  15.168"," 33","0"," 31"," 44","  37.655"," 880.000"," 244.444","  45.000","  350","    0"
"06:48:02:583","70360308411057","  13.609","   0.786"," 1492"," 1100"," 2400"," 1521","   2.984","  92.598","  25.722","   0.434","  54.826","  15.230"," 43","0"," 31"," 43","  37.854"," 911.000"," 253.056","  45.000","  350","    0"
"06:48:03:086","70361462756754","  14.112","   0.790"," 1476"," 1100"," 2300"," 1478","   2.968","  94.091","  26.136","   0.423","  55.039","  15.289"," 36","0"," 32"," 43","  39.413"," 943.000"," 261.944","  45.000","  350","    0"
"06:48:03:588","70362613174498","  14.613","   1.259"," 1557"," 1100"," 2400"," 1574","   3.084","  95.637","  26.566","   0.524","  55.302","  15.362"," 37","0"," 32"," 44","  38.159"," 975.000"," 270.833","  45.000","  350","    0"
"06:48:04:090","70363767119924","  15.116","   0.665"," 1529"," 1100"," 2800"," 1548","   2.952","  97.122","  26.978","   0.406","  55.506","  15.418"," 43","0"," 32"," 44","  37.217","1007.000"," 279.722","  45.000","  350","    0"
"06:48:04:593","70364921253077","  15.619","   0.953"," 1539"," 1100"," 2800"," 1545","   3.014","  98.638","  27.399","   0.468","  55.742","  15.484"," 39","0"," 32"," 44","  38.185","1039.000"," 288.611","  45.000","  350","    0"
"06:48:05:094","70366070865458","  16.120","   0.623"," 1558"," 1100"," 2800"," 1554","   2.936"," 100.109","  27.808","   0.391","  55.937","  15.538"," 41","0"," 32"," 43","  39.116","1071.000"," 297.500","  45.000","  350","    0"
"06:48:05:597","70367224899681","  16.623","   1.125"," 1581"," 1100"," 2800"," 1588","   3.067"," 101.651","  28.236","   0.505","  56.191","  15.609"," 32","0"," 32"," 45","  38.299","1103.000"," 306.389","  45.000","  350","    0"
"06:48:06:105","70368389968851","  17.131","   1.995"," 1550"," 1100"," 2800"," 1564","   3.313"," 103.333","  28.704","   0.737","  56.566","  15.713"," 44","0"," 31"," 44","  38.899","1134.000"," 315.000","  45.000","  350","    0"
"06:48:06:607","70369543235682","  17.633","  22.088"," 2804"," 1100"," 3200"," 2877","  14.526"," 110.633","  30.731","  11.587","  62.389","  17.330"," 45","0"," 34"," 50","  43.334","1168.000"," 324.444","  45.000","  350","    0"
"06:48:07:115","70370708100841","  18.141","  13.675"," 2288"," 1100"," 3200"," 2375","   9.557"," 115.485","  32.079","   6.674","  65.777","  18.271"," 44","0"," 35"," 49","  42.708","1203.000"," 334.167","  45.000","  350","    0"
"06:48:07:618","70371861232413","  18.643","   1.930"," 1951"," 1100"," 3200"," 2037","   3.627"," 117.307","  32.585","   1.004","  66.281","  18.411"," 34","0"," 33"," 46","  41.353","1236.000"," 343.333","  45.000","  350","    0"
"06:48:08:127","70373030364365","  19.153","   8.030"," 1498"," 1100"," 2300"," 1503","   4.973"," 119.841","  33.289","   2.256","  67.431","  18.731"," 46","0"," 33"," 46","  40.786","1269.000"," 352.500","  45.000","  350","    0"
"06:48:08:628","70374180363376","  19.654","  10.921"," 2120"," 1100"," 3300"," 2138","   7.444"," 123.571","  34.325","   4.634","  69.753","  19.376"," 39","0"," 35"," 49","  41.943","1304.000"," 362.222","  45.000","  350","    0"
"06:48:09:131","70375334304219","  20.157","   1.810"," 1709"," 1100"," 2800"," 1722","   3.354"," 125.258","  34.794","   0.755","  70.133","  19.481"," 36","0"," 32"," 45","  39.818","1336.000"," 371.111","  45.000","  350","    0"
"06:48:09:634","70376488679065","  20.660","   3.099"," 2543"," 1100"," 3300"," 2568","   4.536"," 127.539","  35.428","   1.918","  71.098","  19.749"," 38","0"," 33"," 50","  44.079","1369.000"," 380.278","  45.000","  350","    0"
"06:48:10:137","70377642392598","  21.162","   2.103"," 1944"," 1100"," 3300"," 1978","   3.546"," 129.322","  35.923","   0.962","  71.581","  19.884"," 45","0"," 33"," 46","  39.984","1402.000"," 389.444","  45.000","  350","    0"
"06:48:10:637","70378791277685","  21.663","   4.585"," 1994"," 1100"," 3300"," 2051","   4.595"," 131.623","  36.562","   1.920","  72.542","  20.151"," 43","0"," 34"," 47","  41.523","1436.000"," 398.889","  45.000","  350","    0"
"06:48:11:145","70379956554165","  22.171","   2.779"," 1643"," 1100"," 2800"," 1682","   3.675"," 133.489","  37.080","   1.054","  73.078","  20.299"," 42","0"," 34"," 43","  40.181","1470.000"," 408.333","  45.000","  350","    0"
"06:48:11:648","70381110654732","  22.674","   3.164"," 1552"," 1100"," 2800"," 1566","   3.725"," 135.363","  37.601","   1.093","  73.627","  20.452"," 43","0"," 35"," 45","  41.103","1505.000"," 418.056","  45.000","  350","    0"
"06:48:12:151","70382264634342","  23.177","   2.851"," 1805"," 1100"," 3100"," 1824","   3.764"," 137.256","  38.127","   1.100","  74.181","  20.606"," 39","0"," 32"," 45","  39.613","1537.000"," 426.944","  45.000","  350","    0"
"06:48:12:654","70383418769489","  23.680","   0.625"," 1548"," 1100"," 2800"," 1574","   2.955"," 138.742","  38.540","   0.407","  74.385","  20.663"," 37","0"," 31"," 43","  37.619","1568.000"," 435.556","  45.000","  350","    0"
"06:48:13:157","70384572793562","  24.182","   0.564"," 1602"," 1100"," 2800"," 1611","   2.933"," 140.217","  38.949","   0.388","  74.581","  20.717"," 41","0"," 32"," 43","  36.618","1600.000"," 444.444","  45.000","  350","    0"
