,System Time,Variant,Total Elapsed Time (sec),Measured RDTSC Frequency (GHz),Cumulative Package Energy_0 (Joules),Cumulative Package Energy_0 (mWh),Average Package Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0 (mWh),Average Package IA_0 (Watt),Cumulative DRAM Energy_0 (Joules),Cumulative DRAM Energy_0 (mWh),Average Package DRAM_0 (Watt),Average Package Temperature_0(C),Median Package Temperature_0(C),Minimum Package Temperature_0(C),Maximum Package Temperature_0(C)
114,2023-05-22 02:41:24.349069056,chrome_static,94.638024,2.295,382.630981,106.286384,4.0431,136.074722,37.798534,1.437844,6257.0,1738.055556,66.115075,39.297872340425535,40.0,32.0,53.0
64,2023-05-22 02:43:34.617807616,safari_static,104.585736,2.295,345.848129,96.068925,3.306838,76.140945,21.150263,0.728024,6663.0,1850.833333,63.708496,35.58173076923077,34.0,31.0,51.0
111,2023-05-22 02:45:44.628010496,chrome_static,94.400538,2.295,382.138443,106.149567,4.048054,136.336578,37.871272,1.444235,6063.0,1684.166667,64.226329,37.711229946524064,37.0,31.0,52.0
14,2023-05-22 02:47:49.986132992,chrome_dynamic,94.988607,2.295,382.944397,106.373444,4.031477,135.776459,37.715683,1.429397,6110.0,1697.222222,64.323504,37.90425531914894,37.0,32.0,52.0
112,2023-05-22 02:49:55.337224704,chrome_static,94.485583,2.295,384.53923,106.816453,4.069819,138.016617,38.337949,1.460716,6137.0,1704.722222,64.951708,37.850267379679146,36.0,31.0,54.0
61,2023-05-22 02:52:20.508599040,safari_static,134.662171,2.295,436.162048,121.156125,3.238935,87.20575,24.223819,0.647589,8434.0,2342.777778,62.630804,35.90262172284644,34.0,31.0,53.0
11,2023-05-22 02:54:45.702973184,chrome_dynamic,94.511389,2.295,383.265488,106.462635,4.055231,136.98938,38.052606,1.449448,6113.0,1698.055556,64.680036,37.64171122994652,35.0,32.0,51.0
12,2023-05-22 02:56:51.093377792,chrome_dynamic,95.094496,2.295,385.104065,106.973351,4.049699,137.337692,38.149359,1.444223,6139.0,1705.277778,64.556838,38.16489361702128,37.5,32.0,52.0
164,2023-05-22 02:58:55.937135360,safari_dynamic,93.453021,2.295,299.434097,83.176138,3.204114,61.129578,16.980438,0.654121,5881.0,1633.611111,62.930015,35.8,33.0,31.0,50.0
62,2023-05-22 03:01:00.068059136,safari_static,93.666449,2.295,301.344711,83.706864,3.217211,62.667786,17.407718,0.669053,5769.0,1602.5,61.590891,35.87027027027027,35.0,31.0,52.0
1,2023-05-22 03:03:04.784208896,chrome_dynamic,94.521854,2.295,376.100113,104.472254,3.978975,131.266907,36.46303,1.388747,5992.0,1664.444444,63.392747,37.45454545454545,36.0,31.0,51.0
4,2023-05-22 03:05:10.080138240,chrome_dynamic,94.812079,2.295,382.793457,106.331516,4.037391,135.726471,37.701797,1.431531,6088.0,1691.111111,64.211228,37.72872340425532,36.0,31.0,53.0
