"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"09:18:04:341","91017918849406","   0.510","   0.636"," 1626"," 1100"," 2800"," 1619","   3.071","   1.566","   0.435","   0.427","   0.218","   0.060"," 33","0"," 32"," 42","  37.385","  32.000","   8.889","  45.000","  350","    0"
"09:18:04:851","91019089552639","   1.020","  30.397"," 3046"," 1100"," 3300"," 3076","  18.773","  11.144","   3.095","  15.649","   8.201","   2.278"," 48","0"," 32"," 51","  44.397","  64.000","  17.778","  45.000","  350","    0"
"09:18:05:361","91020260201553","   1.530","  30.851"," 3060"," 1200"," 3300"," 3086","  17.940","  20.296","   5.638","  14.863","  15.783","   4.384"," 50","0"," 36"," 52","  45.645"," 100.000","  27.778","  45.000","  350","    0"
"09:18:05:863","91021413468447","   2.033","  16.521"," 2959"," 1100"," 3300"," 2987","  11.418","  26.034","   7.232","   8.489","  20.049","   5.569"," 41","0"," 34"," 52","  45.020"," 134.000","  37.222","  45.000","  350","    0"
"09:18:06:370","91022575402944","   2.539","  10.236"," 2673"," 1100"," 3300"," 2731","   7.940","  30.054","   8.348","   5.044","  22.603","   6.279"," 47","0"," 35"," 49","  42.594"," 169.000","  46.944","  45.000","  350","    0"
"09:18:06:876","91023737693764","   3.046","  15.770"," 2880"," 1100"," 3300"," 2934","  10.867","  35.559","   9.877","   7.820","  26.564","   7.379"," 40","0"," 36"," 50","  43.775"," 205.000","  56.944","  45.000","  350","    0"
"09:18:07:378","91024889551452","   3.548","   1.210"," 1487"," 1100"," 2500"," 1500","   3.097","  37.113","  10.309","   0.525","  26.828","   7.452"," 39","0"," 33"," 44","  39.702"," 238.000","  66.111","  45.000","  350","    0"
"09:18:07:882","91026045659178","   4.051","   1.010"," 1446"," 1100"," 2400"," 1468","   3.042","  38.645","  10.735","   0.482","  27.070","   7.520"," 37","0"," 32"," 44","  38.612"," 270.000","  75.000","  45.000","  350","    0"
"09:18:08:385","91027199680268","   4.554","   0.741"," 1467"," 1100"," 2300"," 1460","   2.964","  40.136","  11.149","   0.415","  27.279","   7.578"," 35","0"," 32"," 43","  37.203"," 302.000","  83.889","  45.000","  350","    0"
"09:18:08:893","91028366297821","   5.063","   1.386"," 1496"," 1100"," 2300"," 1501","   3.148","  41.737","  11.593","   0.566","  27.567","   7.658"," 39","0"," 32"," 44","  38.447"," 334.000","  92.778","  45.000","  350","    0"
