"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:45:45:182","70044994401632","   0.501","   1.371"," 1591"," 1100"," 2300"," 1596","   3.391","   1.699","   0.472","   0.621","   0.311","   0.086"," 31","0"," 30"," 42","  37.124","  30.000","   8.333","  45.000","  350","    0"
"06:45:45:693","70046165741483","   1.012","  27.597"," 3030"," 1100"," 3300"," 3068","  17.544","  10.655","   2.960","  14.483","   7.704","   2.140"," 48","0"," 30"," 50","  42.689","  60.000","  16.667","  45.000","  350","    0"
"06:45:46:193","70047314491123","   1.512","  28.131"," 3013"," 1100"," 3300"," 3042","  17.006","  19.168","   5.324","  13.947","  14.686","   4.079"," 49","0"," 36"," 52","  44.634","  96.000","  26.667","  45.000","  350","    0"
"06:45:46:694","70048463884801","   2.013","  22.822"," 2920"," 1100"," 3300"," 2938","  14.145","  26.253","   7.292","  11.126","  20.259","   5.627"," 46","0"," 35"," 51","  44.744"," 131.000","  36.389","  45.000","  350","    0"
"06:45:47:195","70049614036742","   2.514","   5.444"," 2315"," 1100"," 3300"," 2357","   5.208","  28.863","   8.018","   2.458","  21.491","   5.970"," 44","0"," 31"," 46","  39.784"," 162.000","  45.000","  45.000","  350","    0"
"06:45:47:705","70050784078307","   3.024","  19.308"," 2853"," 1100"," 3300"," 2901","  12.640","  35.308","   9.808","   9.416","  26.292","   7.303"," 48","0"," 35"," 50","  42.290"," 197.000","  54.722","  45.000","  350","    0"
"06:45:48:208","70051937270458","   3.527","   3.566"," 2318"," 1100"," 3300"," 2355","   4.342","  37.490","  10.414","   1.746","  27.169","   7.547"," 41","0"," 34"," 49","  41.797"," 231.000","  64.167","  45.000","  350","    0"
"06:45:48:710","70053089922371","   4.029","   1.057"," 1425"," 1100"," 2300"," 1432","   3.039","  39.017","  10.838","   0.490","  27.415","   7.615"," 40","0"," 31"," 43","  38.489"," 262.000","  72.778","  45.000","  350","    0"
"06:45:49:213","70054244353729","   4.532","   0.842"," 1453"," 1100"," 2300"," 1454","   2.970","  40.511","  11.253","   0.429","  27.631","   7.675"," 41","0"," 31"," 43","  36.704"," 293.000","  81.389","  45.000","  350","    0"
"06:45:49:723","70055414037320","   5.042","   1.217"," 1461"," 1100"," 2300"," 1470","   3.088","  42.085","  11.690","   0.525","  27.899","   7.750"," 40","0"," 31"," 44","  37.946"," 324.000","  90.000","  45.000","  350","    0"
"06:45:50:226","70056569058349","   5.545","   0.860"," 1478"," 1100"," 2300"," 1485","   3.005","  43.597","  12.110","   0.452","  28.126","   7.813"," 39","0"," 31"," 42","  37.284"," 355.000","  98.611","  45.000","  350","    0"
"06:45:50:736","70057738805675","   6.055","   0.711"," 1472"," 1100"," 2300"," 1492","   2.951","  45.101","  12.528","   0.411","  28.336","   7.871"," 40","0"," 31"," 44","  37.869"," 386.000"," 107.222","  45.000","  350","    0"
"06:45:51:239","70058893004019","   6.558","   0.711"," 1465"," 1100"," 2300"," 1473","   2.951","  46.586","  12.940","   0.412","  28.543","   7.929"," 42","0"," 31"," 44","  38.461"," 417.000"," 115.833","  45.000","  350","    0"
"06:45:51:741","70060047134665","   7.061","   0.659"," 1480"," 1100"," 2300"," 1500","   2.934","  48.061","  13.350","   0.402","  28.746","   7.985"," 39","0"," 30"," 43","  36.311"," 447.000"," 124.167","  45.000","  350","    0"
