"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:01:43:893","72245084842774","   0.501","   0.620"," 1649"," 1100"," 2800"," 1652","   3.064","   1.535","   0.426","   0.425","   0.213","   0.059"," 33","0"," 31"," 42","  39.036","  31.000","   8.611","  45.000","  350","    0"
"07:01:44:403","72246254315373","   1.011","  28.333"," 3063"," 1100"," 3300"," 3098","  18.157","  10.789","   2.997","  15.093","   7.905","   2.196"," 47","0"," 32"," 51","  44.348","  63.000","  17.500","  45.000","  350","    0"
"07:01:44:905","72247407465629","   1.513","  29.550"," 3068"," 1300"," 3300"," 3096","  17.854","  19.761","   5.489","  14.773","  15.328","   4.258"," 49","0"," 37"," 52","  45.650"," 100.000","  27.778","  45.000","  350","    0"
"07:01:45:408","72248561693167","   2.016","   6.849"," 2465"," 1100"," 3300"," 2507","   6.208","  22.883","   6.356","   3.285","  16.981","   4.717"," 43","0"," 35"," 49","  42.397"," 135.000","  37.500","  45.000","  350","    0"
"07:01:45:910","72249712744028","   2.518","   1.759"," 1728"," 1100"," 2800"," 1736","   3.424","  24.601","   6.834","   0.740","  17.352","   4.820"," 39","0"," 33"," 45","  39.097"," 168.000","  46.667","  45.000","  350","    0"

"Total Elapsed Time (sec) = 2.517807"
"Measured RDTSC Frequency (GHz) = 2.295"

"Cumulative Package Energy_0 (Joules) = 24.600662"
"Cumulative Package Energy_0 (mWh) = 6.833517"
"Average Package Power_0 (Watt) = 9.770669"

"Cumulative IA Energy_0 (Joules) = 17.352173"
"Cumulative IA Energy_0 (mWh) = 4.820048"
"Average Package IA_0 (Watt) = 6.891780"

"Cumulative DRAM Energy_0 (Joules) = 168.000000"
"Cumulative DRAM Energy_0 (mWh) = 46.666667"
"Average Package DRAM_0 (Watt) = 66.724727"
