"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"16:20:02:929","3505346678958","   0.500","   0.777"," 1474"," 1100"," 1900"," 1474","   3.178","   1.590","   0.442","   0.453","   0.227","   0.063"," 38","0"," 33"," 45","  39.207","  33.000","   9.167","  45.000","  350","    0"
"16:20:03:439","3506517965176","   1.011","  26.447"," 3048"," 1100"," 3300"," 3092","  17.438","  10.490","   2.914","  14.288","   7.519","   2.089"," 48","0"," 37"," 53","  46.513","  70.000","  19.444","  45.000","  350","    0"
"16:20:03:941","3507668351655","   1.512","  25.827"," 3041"," 1300"," 3300"," 3070","  16.853","  18.939","   5.261","  13.690","  14.382","   3.995"," 53","0"," 40"," 53","  46.848"," 110.000","  30.556","  45.000","  350","    0"
"16:20:04:442","3508819016853","   2.013","  19.410"," 3056"," 1100"," 3300"," 3102","  14.433","  26.176","   7.271","  11.301","  20.049","   5.569"," 48","0"," 39"," 53","  47.316"," 149.000","  41.389","  45.000","  350","    0"
"16:20:04:946","3509975212822","   2.517","  39.672"," 3048"," 1000"," 3300"," 3079","  19.702","  36.103","  10.028","  16.153","  28.188","   7.830"," 50","0"," 40"," 57","  50.034"," 189.000","  52.500","  45.000","  350","    0"
"16:20:05:446","3511123497375","   3.017","  39.139"," 3027","  900"," 3300"," 3050","  18.681","  45.451","  12.625","  15.026","  35.706","   9.918"," 47","0"," 40"," 56","  50.444"," 229.000","  63.611","  45.000","  350","    0"
"16:20:05:947","3512273911519","   3.519","  21.936"," 2870"," 1100"," 3300"," 2916","  13.152","  52.044","  14.457","   9.803","  40.621","  11.284"," 47","0"," 40"," 53","  47.091"," 269.000","  74.722","  45.000","  350","    0"
"16:20:06:448","3513423711334","   4.020","  20.152"," 2859"," 1100"," 3300"," 2909","  12.605","  58.360","  16.211","   9.442","  45.352","  12.598"," 47","0"," 39"," 53","  46.921"," 308.000","  85.556","  45.000","  350","    0"
"16:20:06:950","3514574981785","   4.522","  48.088"," 3050"," 1100"," 3200"," 3065","  22.551","  69.674","  19.354","  18.940","  54.854","  15.237"," 48","0"," 41"," 56","  50.627"," 349.000","  96.944","  45.000","  350","    0"
"16:20:07:453","3515728073210","   5.024","   8.648"," 1910"," 1100"," 3300"," 2041","   6.817","  73.099","  20.305","   3.964","  56.846","  15.791"," 48","0"," 39"," 51","  45.366"," 388.000"," 107.778","  45.000","  350","    0"
