"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:43:10:788","31474545362653","   0.501","   0.658"," 1744"," 1100"," 2800"," 1756","   3.161","   1.584","   0.440","   0.460","   0.230","   0.064"," 35","0"," 34"," 47","  41.941","  34.000","   9.444","  45.000","  350","    0"
"19:43:11:304","31475730424215","   1.018","  27.614"," 3042"," 1100"," 3300"," 3073","  17.452","  10.597","   2.944","  14.294","   7.612","   2.114"," 53","0"," 34"," 57","  48.681","  68.000","  18.889","  45.000","  350","    0"
"19:43:11:807","31476885473317","   1.521","  21.632"," 3046"," 1100"," 3300"," 3094","  15.056","  18.175","   5.049","  11.822","  13.562","   3.767"," 51","0"," 41"," 56","  48.526"," 109.000","  30.278","  45.000","  350","    0"
"19:43:12:310","31478037994924","   2.023","  24.904"," 3055"," 1100"," 3300"," 3091","  16.378","  26.401","   7.334","  13.083","  20.133","   5.592"," 52","0"," 42"," 57","  49.486"," 151.000","  41.944","  45.000","  350","    0"
"19:43:12:810","31479186508577","   2.524","  39.382"," 3039","  900"," 3300"," 3073","  19.459","  36.140","  10.039","  15.887","  28.084","   7.801"," 57","0"," 41"," 59","  51.305"," 192.000","  53.333","  45.000","  350","    0"
"19:43:13:315","31480345900032","   3.029","  41.905"," 3080","  900"," 3300"," 3103","  20.554","  46.524","  12.923","  17.056","  36.701","  10.195"," 51","0"," 42"," 60","  52.606"," 234.000","  65.000","  45.000","  350","  700"
"19:43:13:820","31481504829244","   3.534","  22.796"," 2874"," 1100"," 3300"," 2911","  13.514","  53.349","  14.819","   9.974","  41.738","  11.594"," 51","0"," 42"," 58","  49.590"," 276.000","  76.667","  45.000","  350","    0"
"19:43:14:321","31482654142887","   4.035","  22.037"," 2766"," 1100"," 3300"," 2794","  12.150","  59.434","  16.510","   8.849","  46.170","  12.825"," 54","0"," 41"," 57","  49.221"," 317.000","  88.056","  45.000","  350","    0"
"19:43:14:823","31483806156697","   4.537","  17.995"," 2764"," 1100"," 3200"," 2823","  11.898","  65.407","  18.169","   8.700","  50.538","  14.038"," 50","0"," 42"," 59","  50.841"," 359.000","  99.722","  45.000","  350","    0"
"19:43:15:329","31484966127913","   5.042","   6.455"," 1592"," 1100"," 3300"," 1660","   5.587","  68.231","  18.953","   2.746","  51.926","  14.424"," 51","0"," 40"," 51","  45.318"," 399.000"," 110.833","  45.000","  350","    0"
"19:43:15:831","31486118933271","   5.544","  11.987"," 2366"," 1100"," 3300"," 2654","   9.637","  73.072","  20.298","   6.781","  55.332","  15.370"," 50","0"," 41"," 56","  47.273"," 440.000"," 122.222","  45.000","  350","    0"
"19:43:16:334","31487272354270","   6.047","   6.535"," 1996"," 1100"," 3300"," 2042","   5.122","  75.647","  21.013","   2.378","  56.528","  15.702"," 46","0"," 40"," 53","  46.036"," 480.000"," 133.333","  45.000","  350","    0"
"19:43:16:836","31488426343682","   6.550","   1.404"," 1518"," 1100"," 2800"," 1529","   3.239","  77.275","  21.465","   0.603","  56.831","  15.786"," 43","0"," 42"," 48","  44.531"," 522.000"," 145.000","  45.000","  350","    0"
"19:43:17:339","31489580378602","   7.053","   1.805"," 1465"," 1100"," 2800"," 1466","   3.330","  78.950","  21.931","   0.687","  57.176","  15.882"," 47","0"," 41"," 49","  45.098"," 563.000"," 156.389","  45.000","  350","    0"
"19:43:17:842","31490734543833","   7.556","   1.795"," 1457"," 1100"," 2800"," 1477","   3.321","  80.620","  22.395","   0.679","  57.518","  15.977"," 42","0"," 41"," 50","  45.117"," 604.000"," 167.778","  45.000","  350","    0"
"19:43:18:345","31491888625698","   8.059","   1.767"," 1527"," 1100"," 2800"," 1536","   3.330","  82.295","  22.860","   0.683","  57.861","  16.073"," 38","0"," 37"," 49","  44.634"," 641.000"," 178.056","  45.000","  350","    0"
"19:43:18:847","31493039920000","   8.560","   0.980"," 1516"," 1100"," 2800"," 1528","   3.088","  83.845","  23.290","   0.473","  58.098","  16.138"," 48","0"," 36"," 49","  42.381"," 677.000"," 188.056","  45.000","  350","    0"
"19:43:19:350","31494194241891","   9.063","   2.882"," 1822"," 1100"," 2800"," 1832","   3.681","  85.696","  23.805","   0.985","  58.594","  16.276"," 46","0"," 40"," 49","  44.350"," 717.000"," 199.167","  45.000","  350","    0"
