"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:14:03:210","19202704591145","   0.501","   0.795"," 1621"," 1100"," 2800"," 1616","   3.195","   1.601","   0.445","   0.482","   0.242","   0.067"," 40","0"," 34"," 46","  42.146","  34.000","   9.444","  45.000","  350","    0"
"18:14:03:720","19203877079376","   1.012","  27.921"," 3066"," 1100"," 3300"," 3105","  18.223","  10.912","   3.031","  14.932","   7.871","   2.186"," 52","0"," 39"," 55","  48.257","  73.000","  20.278","  45.000","  350","    0"
"18:14:04:221","19205026150749","   1.513","  28.866"," 3075"," 1200"," 3300"," 3105","  17.731","  19.791","   5.497","  14.546","  15.155","   4.210"," 54","0"," 41"," 56","  49.986"," 114.000","  31.667","  45.000","  350","    0"
"18:14:04:723","19206176737845","   2.014","  16.663"," 2960"," 1100"," 3300"," 2983","  11.552","  25.583","   7.106","   8.563","  19.449","   5.402"," 40","0"," 40"," 57","  50.167"," 154.000","  42.778","  45.000","  350","    0"
"18:14:05:232","19207345711251","   2.524","  16.346"," 2910"," 1100"," 3300"," 2952","  11.011","  31.192","   8.664","   7.682","  23.362","   6.489"," 52","0"," 36"," 54","  48.101"," 190.000","  52.778","  45.000","  350","    0"
"18:14:05:737","19208505526812","   3.029","  54.718"," 3060"," 1400"," 3300"," 3075","  24.440","  43.544","  12.096","  21.068","  34.010","   9.447"," 57","0"," 43"," 58","  51.974"," 233.000","  64.722","  45.000","  350","    0"
"18:14:06:240","19209658420055","   3.531","  35.225"," 3021"," 1100"," 3300"," 3060","  17.767","  52.470","  14.575","  14.404","  41.247","  11.457"," 49","0"," 43"," 60","  53.685"," 276.000","  76.667","  45.000","  350","    0"
"18:14:06:742","19210810681185","   4.033","   2.601"," 1415"," 1100"," 3200"," 1468","   4.091","  54.525","  15.146","   1.377","  41.938","  11.649"," 37","0"," 37"," 51","  45.515"," 313.000","  86.944","  45.000","  350","    0"
"18:14:07:245","19211964816300","   4.536","   9.041"," 2749"," 1100"," 3300"," 2767","   6.703","  57.896","  16.082","   3.794","  43.846","  12.179"," 47","0"," 37"," 55","  48.486"," 350.000","  97.222","  45.000","  350","    0"
"18:14:07:748","19213118982030","   5.039","   0.914"," 1517"," 1100"," 2800"," 1530","   3.047","  59.428","  16.508","   0.466","  44.080","  12.245"," 37","0"," 36"," 48","  43.509"," 386.000"," 107.222","  45.000","  350","    0"
