"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:19:54:311","20008425946502","   0.500","   0.987"," 1582"," 1100"," 2800"," 1584","   3.263","   1.633","   0.454","   0.524","   0.262","   0.073"," 41","0"," 34"," 46","  40.871","  34.000","   9.444","  45.000","  350","    0"
"18:19:54:822","20009599359296","   1.012","  28.211"," 3040"," 1100"," 3300"," 3077","  17.945","  10.809","   3.003","  14.790","   7.825","   2.174"," 50","0"," 39"," 54","  47.716","  73.000","  20.278","  45.000","  350","    0"
"18:19:55:325","20010752404288","   1.514","  29.251"," 3091"," 1400"," 3300"," 3124","  17.829","  19.767","   5.491","  14.646","  15.184","   4.218"," 53","0"," 42"," 56","  49.602"," 115.000","  31.944","  45.000","  350","    0"
"18:19:55:827","20011905676877","   2.017","  17.488"," 2969"," 1100"," 3300"," 2991","  11.922","  25.759","   7.155","   8.882","  19.648","   5.458"," 45","0"," 40"," 56","  49.213"," 155.000","  43.056","  45.000","  350","    0"
"18:19:56:330","20013059620112","   2.520","   1.041"," 1556"," 1100"," 2800"," 1560","   3.302","  27.420","   7.617","   0.552","  19.925","   5.535"," 42","0"," 35"," 48","  42.340"," 190.000","  52.778","  45.000","  350","    0"
"18:19:56:833","20014214073056","   3.023","   1.089"," 1539"," 1100"," 2800"," 1533","   3.307","  29.083","   8.079","   0.559","  20.207","   5.613"," 41","0"," 35"," 48","  42.365"," 225.000","  62.500","  45.000","  350","    0"
"18:19:57:336","20015367992970","   3.525","   0.961"," 1568"," 1100"," 2800"," 1602","   3.267","  30.726","   8.535","   0.532","  20.474","   5.687"," 41","0"," 35"," 47","  41.368"," 260.000","  72.222","  45.000","  350","    0"
"18:19:57:839","20016522072871","   4.028","   1.013"," 1556"," 1100"," 2800"," 1553","   3.278","  32.375","   8.993","   0.538","  20.745","   5.763"," 47","0"," 35"," 48","  41.399"," 295.000","  81.944","  45.000","  350","    0"
"18:19:58:342","20017676309211","   4.531","   1.030"," 1557"," 1100"," 2800"," 1570","   3.278","  34.024","   9.451","   0.537","  21.015","   5.838"," 40","0"," 34"," 47","  41.151"," 329.000","  91.389","  45.000","  350","    0"
"18:19:58:845","20018830409888","   5.034","   0.993"," 1565"," 1100"," 2800"," 1577","   3.286","  35.676","   9.910","   0.540","  21.287","   5.913"," 39","0"," 35"," 47","  42.128"," 364.000"," 101.111","  45.000","  350","    0"
"18:19:59:348","20019984495684","   5.537","   0.962"," 1573"," 1100"," 2800"," 1576","   3.261","  37.316","  10.366","   0.521","  21.549","   5.986"," 39","0"," 35"," 48","  42.195"," 399.000"," 110.833","  45.000","  350","    0"
"18:19:59:850","20021138606428","   6.040","   0.996"," 1557"," 1100"," 2800"," 1575","   3.283","  38.968","  10.824","   0.537","  21.819","   6.061"," 46","0"," 35"," 47","  41.050"," 434.000"," 120.556","  45.000","  350","    0"
"18:20:00:352","20022289796158","   6.542","   1.192"," 1532"," 1100"," 2800"," 1542","   3.340","  40.643","  11.290","   0.582","  22.111","   6.142"," 39","0"," 36"," 47","  42.670"," 470.000"," 130.556","  45.000","  350","    0"
"18:20:00:855","20023443928621","   7.045","   1.066"," 1530"," 1100"," 2800"," 1546","   3.291","  42.298","  11.750","   0.543","  22.384","   6.218"," 39","0"," 35"," 47","  42.016"," 505.000"," 140.278","  45.000","  350","    0"
"18:20:01:358","20024597929961","   7.547","   1.236"," 1541"," 1100"," 2800"," 1556","   3.322","  43.969","  12.214","   0.577","  22.674","   6.298"," 37","0"," 35"," 47","  41.254"," 540.000"," 150.000","  45.000","  350","    0"
"18:20:01:861","20025752132047","   8.050","   1.034"," 1565"," 1100"," 2800"," 1579","   3.286","  45.622","  12.673","   0.540","  22.946","   6.374"," 37","0"," 35"," 47","  40.749"," 575.000"," 159.722","  45.000","  350","    0"
"18:20:02:364","20026906128787","   8.553","   0.950"," 1582"," 1100"," 2800"," 1591","   3.267","  47.265","  13.129","   0.521","  23.208","   6.447"," 37","0"," 35"," 47","  40.820"," 610.000"," 169.444","  45.000","  350","    0"
"18:20:02:867","20028060367050","   9.056","   1.055"," 1560"," 1100"," 2800"," 1582","   3.293","  48.921","  13.589","   0.544","  23.481","   6.523"," 43","0"," 35"," 47","  40.702"," 645.000"," 179.167","  45.000","  350","    0"
"18:20:03:370","20029214444276","   9.559","   0.957"," 1586"," 1100"," 2800"," 1576","   3.265","  50.563","  14.045","   0.524","  23.745","   6.596"," 36","0"," 35"," 47","  40.798"," 680.000"," 188.889","  45.000","  350","    0"
"18:20:03:872","20030368453958","  10.062","   0.934"," 1569"," 1100"," 2800"," 1594","   3.262","  52.204","  14.501","   0.517","  24.005","   6.668"," 36","0"," 34"," 47","  40.923"," 714.000"," 198.333","  45.000","  350","    0"
"18:20:04:374","20031518712738","  10.563","   0.997"," 1590"," 1100"," 2800"," 1612","   3.274","  53.845","  14.957","   0.530","  24.270","   6.742"," 36","0"," 35"," 47","  40.861"," 749.000"," 208.056","  45.000","  350","    0"
"18:20:04:877","20032672864721","  11.066","   1.060"," 1558"," 1100"," 2800"," 1559","   3.291","  55.500","  15.417","   0.545","  24.544","   6.818"," 36","0"," 34"," 46","  41.156"," 783.000"," 217.500","  45.000","  350","    0"
"18:20:05:379","20033826474502","  11.569","   0.983"," 1573"," 1100"," 2800"," 1606","   3.274","  57.146","  15.874","   0.531","  24.811","   6.892"," 35","0"," 34"," 47","  40.708"," 817.000"," 226.944","  45.000","  350","    0"
"18:20:05:882","20034980699956","  12.072","   0.921"," 1590"," 1100"," 2800"," 1602","   3.249","  58.780","  16.328","   0.513","  25.069","   6.964"," 36","0"," 35"," 47","  41.934"," 852.000"," 236.667","  45.000","  350","    0"
"18:20:06:384","20036131574890","  12.573","   1.065"," 1545"," 1100"," 2800"," 1565","   3.285","  60.427","  16.785","   0.537","  25.338","   7.038"," 36","0"," 35"," 47","  41.417"," 887.000"," 246.389","  45.000","  350","    0"
"18:20:06:887","20037285902662","  13.076","   0.998"," 1581"," 1100"," 2800"," 1586","   3.275","  62.074","  17.243","   0.532","  25.606","   7.113"," 37","0"," 34"," 47","  40.337"," 921.000"," 255.833","  45.000","  350","    0"
"18:20:07:390","20038439945694","  13.579","   1.030"," 1559"," 1100"," 2800"," 1554","   3.270","  63.719","  17.700","   0.533","  25.874","   7.187"," 36","0"," 34"," 47","  41.210"," 955.000"," 265.278","  45.000","  350","    0"
"18:20:07:891","20039589845699","  14.080","   1.014"," 1562"," 1100"," 2800"," 1575","   3.285","  65.365","  18.157","   0.540","  26.145","   7.262"," 35","0"," 35"," 46","  41.940"," 990.000"," 275.000","  45.000","  350","    0"
"18:20:08:394","20040743982723","  14.583","   0.980"," 1586"," 1100"," 2800"," 1597","   3.255","  67.003","  18.612","   0.519","  26.406","   7.335"," 36","0"," 34"," 46","  41.305","1024.000"," 284.444","  45.000","  350","    0"
"18:20:08:897","20041898425442","  15.086","   0.928"," 1576"," 1100"," 2800"," 1591","   3.261","  68.643","  19.068","   0.521","  26.668","   7.408"," 36","0"," 34"," 46","  41.695","1058.000"," 293.889","  45.000","  350","    0"
"18:20:09:400","20043052778153","  15.589","   0.947"," 1592"," 1100"," 2800"," 1584","   3.259","  70.283","  19.523","   0.519","  26.929","   7.480"," 35","0"," 34"," 46","  39.988","1092.000"," 303.333","  45.000","  350","    0"
"18:20:09:903","20044207057365","  16.092","   0.888"," 1586"," 1100"," 2800"," 1604","   3.245","  71.915","  19.976","   0.508","  27.185","   7.551"," 35","0"," 34"," 46","  40.366","1126.000"," 312.778","  45.000","  350","    0"
"18:20:10:406","20045361282748","  16.595","   0.994"," 1565"," 1100"," 2800"," 1569","   3.265","  73.557","  20.433","   0.530","  27.451","   7.625"," 35","0"," 34"," 47","  40.133","1160.000"," 322.222","  45.000","  350","    0"
"18:20:10:909","20046515353442","  17.098","   0.967"," 1584"," 1100"," 2800"," 1590","   3.258","  75.196","  20.888","   0.526","  27.716","   7.699"," 36","0"," 34"," 47","  40.194","1194.000"," 331.667","  45.000","  350","    0"
"18:20:11:412","20047669442504","  17.601","   0.968"," 1584"," 1100"," 2800"," 1587","   3.257","  76.834","  21.343","   0.519","  27.977","   7.771"," 36","0"," 34"," 47","  40.286","1228.000"," 341.111","  45.000","  350","    0"
"18:20:11:914","20048823617963","  18.104","   0.896"," 1588"," 1100"," 2800"," 1602","   3.246","  78.466","  21.796","   0.509","  28.233","   7.842"," 34","0"," 34"," 46","  40.660","1262.000"," 350.556","  45.000","  350","    0"
"18:20:12:417","20049977692751","  18.607","   1.007"," 1545"," 1100"," 2800"," 1553","   3.256","  80.104","  22.251","   0.523","  28.496","   7.915"," 33","0"," 33"," 47","  40.187","1295.000"," 359.722","  45.000","  350","    0"
"18:20:12:920","20051131820621","  19.110","   1.033"," 1572"," 1100"," 2800"," 1591","   3.269","  81.748","  22.708","   0.535","  28.765","   7.990"," 34","0"," 33"," 46","  40.086","1328.000"," 368.889","  45.000","  350","    0"
"18:20:13:423","20052286056846","  19.613","   0.954"," 1575"," 1100"," 2800"," 1589","   3.245","  83.380","  23.161","   0.518","  29.025","   8.063"," 36","0"," 34"," 47","  40.931","1362.000"," 378.333","  45.000","  350","    0"
"18:20:13:926","20053440103013","  20.116","   0.986"," 1579"," 1100"," 2800"," 1591","   3.270","  85.025","  23.618","   0.533","  29.294","   8.137"," 35","0"," 33"," 46","  40.184","1395.000"," 387.500","  45.000","  350","    0"
"18:20:14:429","20054594496358","  20.619","   0.973"," 1577"," 1100"," 2800"," 1578","   3.259","  86.664","  24.073","   0.525","  29.558","   8.210"," 35","0"," 33"," 46","  40.165","1428.000"," 396.667","  45.000","  350","    0"
"18:20:14:932","20055748617636","  21.122","   0.990"," 1587"," 1100"," 2800"," 1606","   3.275","  88.311","  24.531","   0.537","  29.828","   8.286"," 38","0"," 34"," 47","  40.687","1462.000"," 406.111","  45.000","  350","    0"
"18:20:15:435","20056902569374","  21.625","   0.938"," 1588"," 1100"," 2800"," 1599","   3.262","  89.952","  24.987","   0.522","  30.090","   8.358"," 36","0"," 34"," 46","  40.024","1496.000"," 415.556","  45.000","  350","    0"
"18:20:15:938","20058056853814","  22.128","   1.006"," 1611"," 1100"," 2800"," 1616","   3.276","  91.600","  25.444","   0.541","  30.363","   8.434"," 38","0"," 34"," 47","  40.467","1530.000"," 425.000","  45.000","  350","    0"
"18:20:16:442","20059213872977","  22.632","   0.909"," 1602"," 1100"," 2800"," 1613","   3.261","  93.244","  25.901","   0.518","  30.624","   8.507"," 35","0"," 34"," 46","  39.612","1564.000"," 434.444","  45.000","  350","    0"
"18:20:16:945","20060367885380","  23.135","   0.932"," 1624"," 1100"," 2800"," 1643","   3.247","  94.877","  26.355","   0.518","  30.885","   8.579"," 35","0"," 33"," 46","  40.024","1597.000"," 443.611","  45.000","  350","    0"
"18:20:17:448","20061521786065","  23.637","   0.913"," 1608"," 1100"," 2800"," 1630","   3.250","  96.511","  26.809","   0.515","  31.144","   8.651"," 34","0"," 33"," 46","  39.255","1630.000"," 452.778","  45.000","  350","    0"
"18:20:17:951","20062675786363","  24.140","   0.913"," 1622"," 1100"," 2800"," 1624","   3.245","  98.143","  27.262","   0.513","  31.401","   8.723"," 34","0"," 33"," 46","  39.709","1663.000"," 461.944","  45.000","  350","    0"
"18:20:18:454","20063829915309","  24.643","   1.217"," 1632"," 1100"," 2800"," 1660","   3.320","  99.812","  27.726","   0.581","  31.694","   8.804"," 34","0"," 33"," 47","  40.643","1696.000"," 471.111","  45.000","  350","    0"
"18:20:18:956","20064983644129","  25.146","   0.876"," 1643"," 1100"," 2800"," 1655","   3.241"," 101.442","  28.178","   0.516","  31.953","   8.876"," 35","0"," 33"," 47","  40.522","1729.000"," 480.278","  45.000","  350","    0"
"18:20:19:459","20066137897289","  25.649","   0.871"," 1654"," 1100"," 2800"," 1674","   3.241"," 103.072","  28.631","   0.511","  32.210","   8.947"," 35","0"," 33"," 46","  39.975","1762.000"," 489.444","  45.000","  350","    0"
"18:20:19:968","20067304594408","  26.157","   0.959"," 1605"," 1100"," 2800"," 1618","   3.250"," 104.725","  29.090","   0.520","  32.475","   9.021"," 34","0"," 34"," 46","  40.608","1796.000"," 498.889","  45.000","  350","    0"
"18:20:20:471","20068458674539","  26.660","   0.870"," 1672"," 1100"," 2800"," 1696","   3.227"," 106.347","  29.541","   0.512","  32.732","   9.092"," 38","0"," 33"," 47","  41.076","1829.000"," 508.056","  45.000","  350","    0"
"18:20:20:974","20069612689035","  27.163","   0.862"," 1589"," 1100"," 2800"," 1588","   3.219"," 107.966","  29.991","   0.504","  32.986","   9.163"," 35","0"," 34"," 47","  41.923","1863.000"," 517.500","  45.000","  350","    0"
"18:20:21:475","20070762758373","  27.664","   0.779"," 1608"," 1100"," 2800"," 1626","   3.190"," 109.565","  30.435","   0.477","  33.225","   9.229"," 34","0"," 33"," 46","  40.064","1896.000"," 526.667","  45.000","  350","    0"
"18:20:21:978","20071916905174","  28.167","   2.492"," 2329"," 1100"," 3300"," 2570","   4.150"," 111.652","  31.014","   1.337","  33.897","   9.416"," 40","0"," 33"," 46","  42.285","1929.000"," 535.833","  45.000","  350","    0"
"18:20:22:481","20073071166069","  28.670","   0.820"," 1594"," 1100"," 2800"," 1600","   3.201"," 113.262","  31.462","   0.486","  34.142","   9.484"," 35","0"," 34"," 47","  41.318","1963.000"," 545.278","  45.000","  350","    0"
"18:20:22:983","20074225274283","  29.173","   0.895"," 1556"," 1100"," 2800"," 1578","   3.208"," 114.876","  31.910","   0.499","  34.393","   9.554"," 35","0"," 34"," 46","  40.093","1997.000"," 554.722","  45.000","  350","    0"
"18:20:23:491","20075390044784","  29.681","   0.798"," 1593"," 1100"," 2800"," 1615","   3.195"," 116.498","  32.360","   0.484","  34.638","   9.622"," 34","0"," 33"," 47","  41.438","2030.000"," 563.889","  45.000","  350","    0"
