"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:55:35:878","63139117619245","   0.510","   0.740"," 1588"," 1100"," 2300"," 1596","   3.075","   1.568","   0.436","   0.453","   0.231","   0.064"," 38","0"," 28"," 39","  35.971","  28.000","   7.778","  45.000","  350","    0"
"05:55:36:390","63140292117103","   1.022","  23.548"," 2952"," 1100"," 3300"," 2988","  14.985","   9.238","   2.566","  11.879","   6.311","   1.753"," 42","0"," 33"," 48","  41.686","  61.000","  16.944","  45.000","  350","    0"
"05:55:36:891","63141441046686","   1.522","  22.503"," 3015"," 1100"," 3300"," 3052","  15.359","  16.927","   4.702","  12.213","  12.426","   3.452"," 45","0"," 34"," 48","  42.580","  95.000","  26.389","  45.000","  350","    0"
"05:55:37:393","63142594085356","   2.025","  24.204"," 3037"," 1200"," 3300"," 3074","  15.993","  24.963","   6.934","  12.827","  18.871","   5.242"," 46","0"," 35"," 49","  43.623"," 130.000","  36.111","  45.000","  350","    0"
"05:55:37:894","63143743450120","   2.526","  26.152"," 2989"," 1100"," 3300"," 3031","  15.391","  32.672","   9.076","  12.335","  25.049","   6.958"," 49","0"," 35"," 50","  43.041"," 165.000","  45.833","  45.000","  350","    0"
"05:55:38:399","63144903740269","   3.031","  46.204"," 3061"," 1100"," 3300"," 3080","  22.047","  43.820","  12.172","  18.505","  34.405","   9.557"," 48","0"," 37"," 51","  45.827"," 202.000","  56.111","  45.000","  350","  700"
"05:55:38:900","63146052083598","   3.532","  23.061"," 2695","  700"," 3300"," 2742","  12.989","  50.320","  13.978","   9.702","  39.260","  10.906"," 47","0"," 36"," 50","  43.259"," 238.000","  66.111","  45.000","  350","  700"
"05:55:39:400","63147200417595","   4.032","  18.095"," 2688"," 1100"," 3300"," 2721","  10.589","  55.619","  15.450","   7.362","  42.945","  11.929"," 45","0"," 36"," 50","  43.057"," 274.000","  76.111","  45.000","  350","    0"
"05:55:39:903","63148353719394","   4.535","  12.943"," 2720"," 1100"," 3300"," 2748","   8.010","  59.645","  16.568","   5.140","  45.528","  12.647"," 40","0"," 35"," 50","  43.022"," 309.000","  85.833","  45.000","  350","    0"
"05:55:40:406","63149507820255","   5.038","   5.605"," 1526"," 1100"," 2500"," 1535","   4.038","  61.676","  17.132","   1.411","  46.238","  12.844"," 41","0"," 35"," 44","  39.703"," 344.000","  95.556","  45.000","  350","    0"
"05:55:40:909","63150662178426","   5.541","   3.724"," 1520"," 1100"," 2800"," 1535","   3.640","  63.507","  17.641","   1.044","  46.763","  12.990"," 40","0"," 35"," 43","  39.022"," 379.000"," 105.278","  45.000","  350","    0"
"05:55:41:411","63151814487587","   6.043","  11.115"," 2271"," 1100"," 3300"," 2532","   8.627","  67.838","  18.844","   5.832","  49.692","  13.803"," 44","0"," 35"," 47","  40.714"," 414.000"," 115.000","  45.000","  350","    0"
"05:55:41:914","63152968583457","   6.546","   7.932"," 2400"," 1100"," 3300"," 2510","   6.462","  71.088","  19.747","   3.681","  51.543","  14.317"," 42","0"," 35"," 48","  41.243"," 449.000"," 124.722","  45.000","  350","    0"
"05:55:42:417","63154122534896","   7.049","   1.954"," 1436"," 1100"," 2400"," 1449","   3.293","  72.744","  20.207","   0.688","  51.889","  14.414"," 40","0"," 34"," 42","  38.133"," 483.000"," 134.167","  45.000","  350","    0"
