"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"09:39:37:685","93985939713252","   0.510","   0.831"," 1614"," 1100"," 2300"," 1636","   3.252","   1.659","   0.461","   0.501","   0.255","   0.071"," 31","0"," 30"," 42","  37.686","  30.000","   8.333","  45.000","  350","    0"
"09:39:38:224","93987176908752","   1.049","  19.085"," 2874"," 1100"," 3300"," 2901","  12.175","   8.223","   2.284","   9.121","   5.173","   1.437"," 50","0"," 31"," 51","  42.949","  61.000","  16.944","  45.000","  350","    0"
"09:39:38:726","93988329313632","   1.551","  13.997"," 2854"," 1100"," 3300"," 2897","  10.144","  13.317","   3.699","   7.099","   8.738","   2.427"," 40","0"," 35"," 51","  43.705","  96.000","  26.667","  45.000","  350","    0"
"09:39:39:229","93989483203362","   2.054","   2.267"," 1512"," 1100"," 2600"," 1517","   3.681","  15.168","   4.213","   0.851","   9.166","   2.546"," 41","0"," 34"," 44","  39.632"," 130.000","  36.111","  45.000","  350","    0"
"09:39:39:730","93990632654367","   2.555","  24.313"," 3030"," 1100"," 3300"," 3059","  15.999","  23.181","   6.439","  12.952","  15.653","   4.348"," 50","0"," 34"," 51","  44.681"," 164.000","  45.556","  45.000","  350","    0"
"09:39:40:231","93991781915507","   3.056","  19.487"," 2983"," 1200"," 3300"," 3029","  14.012","  30.199","   8.389","  10.860","  21.092","   5.859"," 45","0"," 35"," 51","  44.223"," 199.000","  55.278","  45.000","  350","    0"
"09:39:40:733","93992933626861","   3.558","   7.696"," 2234"," 1100"," 3300"," 2268","   5.991","  33.206","   9.224","   3.056","  22.626","   6.285"," 40","0"," 35"," 47","  41.928"," 234.000","  65.000","  45.000","  350","    0"
"09:39:41:235","93994087648132","   4.061","  27.547"," 2865","  900"," 3300"," 2908","  14.908","  40.703","  11.306","  11.718","  28.519","   7.922"," 52","0"," 35"," 53","  44.318"," 269.000","  74.722","  45.000","  350","    0"
"09:39:41:744","93995255449567","   4.570","  16.864"," 2796"," 1100"," 3300"," 2818","  10.285","  45.937","  12.760","   7.231","  32.199","   8.944"," 45","0"," 36"," 52","  44.053"," 305.000","  84.722","  45.000","  350","    0"
"09:39:42:254","93996426021013","   5.080","   6.641"," 2182"," 1100"," 3300"," 2215","   5.417","  48.700","  13.528","   2.636","  33.543","   9.318"," 45","0"," 35"," 48","  41.615"," 340.000","  94.444","  45.000","  350","    0"
"09:39:42:759","93997583496989","   5.584","  12.097"," 2506"," 1100"," 3300"," 2545","   8.080","  52.776","  14.660","   5.102","  36.116","  10.032"," 44","0"," 35"," 49","  42.157"," 375.000"," 104.167","  45.000","  350","    0"
"09:39:43:263","93998740370985","   6.088","  12.553"," 2357"," 1100"," 3300"," 2381","   8.392","  57.007","  15.835","   5.144","  38.710","  10.753"," 44","0"," 35"," 49","  42.177"," 410.000"," 113.889","  45.000","  350","    0"
"09:39:43:771","93999906825315","   6.596","  15.616"," 2567"," 1000"," 3300"," 2631","  10.017","  62.098","  17.250","   6.957","  42.246","  11.735"," 45","0"," 36"," 49","  42.405"," 446.000"," 123.889","  45.000","  350","    0"
"09:39:44:281","94001076866230","   7.106","  19.870"," 2822"," 1100"," 3300"," 2875","  12.227","  68.333","  18.981","   8.972","  46.821","  13.006"," 43","0"," 36"," 50","  43.998"," 482.000"," 133.889","  45.000","  350","    0"
"09:39:44:784","94002231294114","   7.609","  13.436"," 2745"," 1100"," 3300"," 2779","   8.529","  72.623","  20.173","   5.569","  49.623","  13.784"," 37","0"," 36"," 49","  43.473"," 518.000"," 143.889","  45.000","  350","    0"
