"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:51:26:271","62566308774673","   0.501","   0.602"," 1682"," 1100"," 2800"," 1683","   3.037","   1.521","   0.422","   0.424","   0.212","   0.059"," 29","0"," 28"," 39","  34.404","  28.000","   7.778","  45.000","  350","    0"
"05:51:26:783","62567484694791","   1.013","  30.229"," 3067"," 1100"," 3300"," 3102","  18.907","  11.210","   3.114","  15.807","   8.313","   2.309"," 46","0"," 28"," 49","  41.659","  56.000","  15.556","  45.000","  350","    0"
"05:51:27:284","62568634274767","   1.514","  31.267"," 3062"," 1200"," 3300"," 3088","  18.063","  20.258","   5.627","  14.999","  15.827","   4.396"," 49","0"," 34"," 49","  42.781","  90.000","  25.000","  45.000","  350","    0"
"05:51:27:788","62569789692662","   2.018","  18.010"," 3005"," 1100"," 3300"," 3026","  12.216","  26.409","   7.336","   9.270","  20.494","   5.693"," 38","0"," 33"," 49","  43.183"," 123.000","  34.167","  45.000","  350","    0"
"05:51:28:294","62570950206819","   2.523","   9.548"," 2745"," 1100"," 3300"," 2812","   7.766","  30.337","   8.427","   4.900","  22.972","   6.381"," 42","0"," 31"," 46","  39.114"," 154.000","  42.778","  45.000","  350","    0"
"05:51:28:797","62572104630801","   3.026","  15.867"," 2825"," 1100"," 3300"," 2868","  10.791","  35.765","   9.935","   7.757","  26.874","   7.465"," 37","0"," 34"," 48","  41.179"," 188.000","  52.222","  45.000","  350","    0"
"05:51:29:299","62573258673159","   3.529","   1.281"," 1497"," 1100"," 2800"," 1529","   3.105","  37.327","  10.369","   0.557","  27.154","   7.543"," 37","0"," 31"," 42","  36.935"," 219.000","  60.833","  45.000","  350","    0"
"05:51:29:802","62574412806910","   4.032","   0.958"," 1443"," 1100"," 2300"," 1460","   2.999","  38.835","  10.788","   0.468","  27.390","   7.608"," 38","0"," 30"," 40","  35.769"," 249.000","  69.167","  45.000","  350","    0"
"05:51:30:305","62575567057126","   4.535","   0.683"," 1479"," 1100"," 2300"," 1471","   2.924","  40.306","  11.196","   0.401","  27.592","   7.664"," 33","0"," 29"," 40","  35.341"," 278.000","  77.222","  45.000","  350","    0"
"05:51:30:811","62576727927574","   5.041","   1.320"," 1456"," 1100"," 2300"," 1470","   3.066","  41.857","  11.627","   0.537","  27.863","   7.740"," 35","0"," 28"," 41","  36.812"," 306.000","  85.000","  45.000","  350","    0"
"05:51:31:314","62577882224299","   5.544","   0.694"," 1478"," 1100"," 2300"," 1478","   2.931","  43.331","  12.036","   0.409","  28.069","   7.797"," 36","0"," 29"," 39","  34.208"," 335.000","  93.056","  45.000","  350","    0"
"05:51:31:822","62579047194624","   6.052","   1.476"," 1527"," 1100"," 2300"," 1554","   3.143","  44.926","  12.480","   0.602","  28.375","   7.882"," 39","0"," 28"," 41","  35.989"," 363.000"," 100.833","  45.000","  350","    0"
"05:51:32:325","62580201400312","   6.555","   0.714"," 1476"," 1100"," 2300"," 1471","   2.935","  46.403","  12.890","   0.415","  28.584","   7.940"," 36","0"," 29"," 39","  33.101"," 392.000"," 108.889","  45.000","  350","    0"
"05:51:32:828","62581355635463","   7.058","   0.711"," 1494"," 1100"," 2300"," 1505","   2.920","  47.871","  13.298","   0.405","  28.787","   7.996"," 31","0"," 29"," 40","  33.598"," 421.000"," 116.944","  45.000","  350","    0"
"05:51:33:331","62582509863730","   7.561","   0.846"," 1472"," 1100"," 2400"," 1478","   2.975","  49.368","  13.713","   0.450","  29.014","   8.059"," 33","0"," 28"," 39","  34.039"," 449.000"," 124.722","  45.000","  350","    0"
"05:51:33:837","62583671769717","   8.067","   1.392"," 1467"," 1100"," 2400"," 1491","   3.071","  50.923","  14.145","   0.538","  29.286","   8.135"," 33","0"," 28"," 40","  35.123"," 477.000"," 132.500","  45.000","  350","    0"
"05:51:34:340","62584825962801","   8.570","   0.777"," 1467"," 1100"," 2300"," 1461","   2.930","  52.396","  14.555","   0.410","  29.492","   8.192"," 31","0"," 29"," 39","  33.384"," 506.000"," 140.556","  45.000","  350","    0"
"05:51:34:844","62585982446109","   9.074","   0.719"," 1485"," 1100"," 2300"," 1492","   2.928","  53.872","  14.964","   0.408","  29.697","   8.249"," 34","0"," 29"," 40","  32.603"," 535.000"," 148.611","  45.000","  350","    0"
"05:51:35:345","62587132229810","   9.575","   0.653"," 1490"," 1100"," 2300"," 1513","   2.918","  55.334","  15.371","   0.400","  29.898","   8.305"," 34","0"," 28"," 39","  33.436"," 563.000"," 156.389","  45.000","  350","    0"
"05:51:35:848","62588286054757","  10.078","   1.411"," 1532"," 1100"," 2300"," 1552","   3.129","  56.907","  15.808","   0.588","  30.193","   8.387"," 39","0"," 29"," 40","  36.176"," 592.000"," 164.444","  45.000","  350","    0"
"05:51:36:351","62589440204916","  10.581","   0.836"," 1488"," 1100"," 2300"," 1499","   2.947","  58.390","  16.219","   0.431","  30.410","   8.447"," 34","0"," 29"," 41","  36.073"," 621.000"," 172.500","  45.000","  350","    0"
"05:51:36:854","62590594180312","  11.083","   0.723"," 1487"," 1100"," 2300"," 1501","   2.932","  59.864","  16.629","   0.410","  30.616","   8.504"," 33","0"," 29"," 39","  34.723"," 650.000"," 180.556","  45.000","  350","    0"
"05:51:37:357","62591748322681","  11.586","   0.685"," 1472"," 1100"," 2300"," 1476","   2.915","  61.330","  17.036","   0.397","  30.815","   8.560"," 30","0"," 29"," 41","  34.626"," 679.000"," 188.611","  45.000","  350","    0"
"05:51:37:862","62592909030513","  12.092","   1.136"," 1473"," 1100"," 2300"," 1474","   3.047","  62.871","  17.464","   0.514","  31.075","   8.632"," 34","0"," 28"," 41","  36.039"," 707.000"," 196.389","  45.000","  350","    0"
"05:51:38:365","62594063195178","  12.595","   0.930"," 1461"," 1100"," 2300"," 1469","   2.980","  64.370","  17.881","   0.458","  31.306","   8.696"," 35","0"," 29"," 40","  35.774"," 736.000"," 204.444","  45.000","  350","    0"
"05:51:38:868","62595217254227","  13.098","   1.597"," 1449"," 1100"," 2300"," 1457","   3.149","  65.953","  18.320","   0.605","  31.610","   8.781"," 40","0"," 31"," 40","  36.646"," 767.000"," 213.056","  45.000","  350","    0"
"05:51:39:371","62596371422678","  13.601","   0.839"," 1450"," 1100"," 2400"," 1451","   2.951","  67.438","  18.733","   0.429","  31.826","   8.840"," 34","0"," 28"," 40","  34.727"," 795.000"," 220.833","  45.000","  350","    0"
"05:51:39:874","62597525774453","  14.104","   0.673"," 1504"," 1100"," 2300"," 1502","   2.918","  68.905","  19.140","   0.400","  32.027","   8.896"," 36","0"," 28"," 41","  34.860"," 823.000"," 228.611","  45.000","  350","    0"
"05:51:40:383","62598692720402","  14.612","   2.475"," 2217"," 1100"," 3300"," 2257","   3.857","  70.867","  19.685","   1.299","  32.687","   9.080"," 34","0"," 29"," 46","  37.737"," 852.000"," 236.667","  45.000","  350","    0"
"05:51:40:886","62599846935596","  15.115","   0.559"," 1525"," 1100"," 2300"," 1523","   2.899","  72.325","  20.090","   0.382","  32.879","   9.133"," 34","0"," 28"," 41","  33.733"," 880.000"," 244.444","  45.000","  350","    0"
"05:51:41:388","62601001009492","  15.618","   0.650"," 1498"," 1100"," 2400"," 1504","   2.922","  73.795","  20.498","   0.403","  33.082","   9.189"," 32","0"," 28"," 40","  33.521"," 908.000"," 252.222","  45.000","  350","    0"
"05:51:41:891","62602155021039","  16.121","   1.767"," 1598"," 1100"," 2300"," 1595","   3.198","  75.403","  20.945","   0.652","  33.410","   9.280"," 33","0"," 29"," 40","  35.794"," 937.000"," 260.278","  45.000","  350","    0"
"05:51:42:394","62603309070104","  16.624","   0.715"," 1479"," 1100"," 2300"," 1485","   2.932","  76.877","  21.355","   0.412","  33.617","   9.338"," 30","0"," 29"," 41","  33.953"," 966.000"," 268.333","  45.000","  350","    0"
"05:51:42:897","62604463264876","  17.127","   0.699"," 1492"," 1100"," 2500"," 1494","   2.936","  78.354","  21.765","   0.414","  33.825","   9.396"," 33","0"," 29"," 39","  34.508"," 995.000"," 276.389","  45.000","  350","    0"
"05:51:43:400","62605617459961","  17.630","   0.809"," 1494"," 1100"," 2400"," 1522","   2.974","  79.850","  22.181","   0.449","  34.051","   9.459"," 38","0"," 28"," 40","  34.514","1023.000"," 284.167","  45.000","  350","    0"
"05:51:43:910","62606787246592","  18.140","   1.178"," 1479"," 1100"," 2500"," 1480","   3.047","  81.403","  22.612","   0.513","  34.312","   9.531"," 32","0"," 29"," 39","  35.523","1052.000"," 292.222","  45.000","  350","    0"
"05:51:44:413","62607941523143","  18.643","   0.697"," 1468"," 1100"," 2300"," 1477","   2.909","  82.867","  23.019","   0.397","  34.512","   9.587"," 31","0"," 29"," 40","  33.183","1081.000"," 300.278","  45.000","  350","    0"
