"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:51:13:489","37752684469555","   0.500","   0.834"," 1589"," 1100"," 2300"," 1593","   3.133","   1.568","   0.435","   0.472","   0.236","   0.066"," 36","0"," 31"," 43","  37.775","  31.000","   8.611","  45.000","  350","    0"
"02:51:14:002","37753862374518","   1.014","  30.546"," 3027"," 1100"," 3300"," 3058","  18.652","  11.141","   3.095","  15.515","   8.200","   2.278"," 49","0"," 35"," 52","  45.699","  66.000","  18.333","  45.000","  350","    0"
"02:51:14:505","37755015283338","   1.516","  30.495"," 3047"," 1300"," 3300"," 3075","  17.796","  20.082","   5.578","  14.703","  15.587","   4.330"," 53","0"," 38"," 54","  47.009"," 104.000","  28.889","  45.000","  350","    0"
"02:51:15:005","37756164180999","   2.017","   3.497"," 2679"," 1100"," 3300"," 2726","   4.811","  22.491","   6.248","   2.062","  16.619","   4.616"," 42","0"," 34"," 53","  46.212"," 138.000","  38.333","  45.000","  350","    0"
"02:51:15:506","37757313514125","   2.517","   2.007"," 1609"," 1100"," 2300"," 1643","   3.465","  24.227","   6.730","   0.760","  17.000","   4.722"," 44","0"," 36"," 45","  40.382"," 174.000","  48.333","  45.000","  350","    0"
"02:51:16:009","37758467165221","   3.020","  13.530"," 2968"," 1100"," 3300"," 2994","   9.813","  29.160","   8.100","   6.937","  20.487","   5.691"," 40","0"," 34"," 51","  45.386"," 208.000","  57.778","  45.000","  350","    0"
"02:51:16:514","37759627258868","   3.526","   0.951"," 1525"," 1100"," 2400"," 1525","   3.183","  30.769","   8.547","   0.509","  20.744","   5.762"," 38","0"," 33"," 44","  38.353"," 241.000","  66.944","  45.000","  350","    0"
"02:51:17:017","37760781411481","   4.029","   0.953"," 1517"," 1100"," 2300"," 1533","   3.174","  32.365","   8.990","   0.498","  20.995","   5.832"," 34","0"," 32"," 44","  39.291"," 273.000","  75.833","  45.000","  350","    0"
"02:51:17:520","37761935490179","   4.532","   0.851"," 1555"," 1100"," 2300"," 1564","   3.159","  33.954","   9.432","   0.487","  21.240","   5.900"," 34","0"," 32"," 45","  38.552"," 305.000","  84.722","  45.000","  350","    0"
"02:51:18:023","37763089519933","   5.034","   1.027"," 1538"," 1100"," 2700"," 1547","   3.204","  35.565","   9.879","   0.525","  21.504","   5.973"," 34","0"," 31"," 45","  39.231"," 336.000","  93.333","  45.000","  350","    0"
"02:51:18:533","37764260374040","   5.545","   0.883"," 1541"," 1100"," 2300"," 1543","   3.165","  37.180","  10.328","   0.492","  21.755","   6.043"," 33","0"," 32"," 44","  37.506"," 368.000"," 102.222","  45.000","  350","    0"
"02:51:19:036","37765414412847","   6.048","   1.254"," 1543"," 1100"," 2800"," 1549","   3.235","  38.807","  10.780","   0.555","  22.034","   6.121"," 33","0"," 32"," 45","  38.762"," 400.000"," 111.111","  45.000","  350","    0"
"02:51:19:539","37766568512643","   6.550","   1.047"," 1516"," 1100"," 2300"," 1540","   3.201","  40.417","  11.227","   0.528","  22.300","   6.194"," 36","0"," 33"," 44","  39.005"," 433.000"," 120.278","  45.000","  350","    0"
"02:51:20:042","37767722646380","   7.053","   0.951"," 1565"," 1100"," 2600"," 1574","   3.173","  42.013","  11.670","   0.501","  22.552","   6.264"," 34","0"," 32"," 45","  38.250"," 465.000"," 129.167","  45.000","  350","    0"
"02:51:20:545","37768876630716","   7.556","   0.903"," 1540"," 1100"," 2300"," 1540","   3.176","  43.610","  12.114","   0.500","  22.803","   6.334"," 33","0"," 32"," 44","  38.607"," 497.000"," 138.056","  45.000","  350","    0"
"02:51:21:048","37770030871318","   8.059","   1.042"," 1510"," 1100"," 2400"," 1527","   3.194","  45.216","  12.560","   0.518","  23.064","   6.407"," 36","0"," 32"," 44","  38.920"," 529.000"," 146.944","  45.000","  350","    0"
"02:51:21:549","37771181027849","   8.560","   0.854"," 1564"," 1100"," 2300"," 1585","   3.154","  46.797","  12.999","   0.483","  23.306","   6.474"," 32","0"," 32"," 45","  39.442"," 561.000"," 155.833","  45.000","  350","    0"
"02:51:22:052","37772335426714","   9.063","   0.947"," 1544"," 1100"," 2400"," 1556","   3.178","  48.396","  13.443","   0.503","  23.559","   6.544"," 33","0"," 32"," 44","  37.234"," 593.000"," 164.722","  45.000","  350","    0"
"02:51:22:557","37773494611294","   9.569","   0.879"," 1550"," 1100"," 2400"," 1584","   3.156","  49.990","  13.886","   0.485","  23.804","   6.612"," 33","0"," 32"," 44","  37.456"," 625.000"," 173.611","  45.000","  350","    0"
"02:51:23:060","37774648546634","  10.071","   0.918"," 1543"," 1100"," 2300"," 1558","   3.159","  51.579","  14.327","   0.493","  24.052","   6.681"," 33","0"," 32"," 45","  37.518"," 657.000"," 182.500","  45.000","  350","    0"
"02:51:23:563","37775802961698","  10.574","   0.910"," 1544"," 1100"," 2300"," 1559","   3.159","  53.168","  14.769","   0.489","  24.298","   6.749"," 33","0"," 32"," 44","  37.582"," 689.000"," 191.389","  45.000","  350","    0"
"02:51:24:066","37776957269736","  11.077","   1.100"," 1514"," 1100"," 2400"," 1529","   3.196","  54.775","  15.215","   0.521","  24.560","   6.822"," 34","0"," 32"," 46","  39.392"," 721.000"," 200.278","  45.000","  350","    0"
"02:51:24:569","37778111607062","  11.580","   0.888"," 1556"," 1100"," 2300"," 1562","   3.155","  56.362","  15.656","   0.484","  24.803","   6.890"," 33","0"," 33"," 45","  37.944"," 754.000"," 209.444","  45.000","  350","    0"
"02:51:25:072","37779266210319","  12.084","   0.950"," 1556"," 1100"," 2400"," 1564","   3.174","  57.959","  16.100","   0.502","  25.056","   6.960"," 33","0"," 32"," 45","  38.256"," 786.000"," 218.333","  45.000","  350","    0"
"02:51:25:575","37780420329957","  12.586","   1.000"," 1540"," 1100"," 2400"," 1559","   3.185","  59.561","  16.545","   0.511","  25.312","   7.031"," 43","0"," 32"," 45","  38.215"," 818.000"," 227.222","  45.000","  350","    0"
"02:51:26:078","37781574601947","  13.089","   0.999"," 1530"," 1100"," 2300"," 1539","   3.190","  61.166","  16.991","   0.513","  25.571","   7.103"," 34","0"," 33"," 45","  40.674"," 851.000"," 236.389","  45.000","  350","    0"
"02:51:26:581","37782728966211","  13.593","   0.923"," 1544"," 1100"," 2300"," 1535","   3.158","  62.754","  17.432","   0.488","  25.816","   7.171"," 33","0"," 32"," 45","  37.479"," 883.000"," 245.278","  45.000","  350","    0"
"02:51:27:084","37783883068208","  14.095","   1.018"," 1524"," 1100"," 2400"," 1540","   3.194","  64.361","  17.878","   0.518","  26.076","   7.243"," 33","0"," 32"," 44","  38.098"," 915.000"," 254.167","  45.000","  350","    0"
"02:51:27:594","37785053661771","  14.606","   0.901"," 1548"," 1100"," 2300"," 1565","   3.146","  65.966","  18.324","   0.485","  26.324","   7.312"," 32","0"," 32"," 45","  37.582"," 947.000"," 263.056","  45.000","  350","    0"
"02:51:28:097","37786207772301","  15.108","   0.968"," 1524"," 1100"," 2300"," 1542","   3.168","  67.559","  18.766","   0.497","  26.573","   7.381"," 33","0"," 32"," 44","  39.143"," 979.000"," 271.944","  45.000","  350","    0"
