"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"17:23:10:526","12197280932748","   0.510","   0.809"," 1657"," 1100"," 2800"," 1677","   3.204","   1.634","   0.454","   0.492","   0.251","   0.070"," 44","0"," 33"," 46","  40.020","  33.000","   9.167","  45.000","  350","    0"
"17:23:11:036","12198450651529","   1.020","  28.801"," 3035"," 1200"," 3300"," 3069","  18.081","  10.850","   3.014","  14.737","   7.763","   2.156"," 51","0"," 37"," 54","  47.102","  70.000","  19.444","  45.000","  350","    0"
"17:23:11:536","12199599228842","   1.520","  19.711"," 3037"," 1100"," 3300"," 3077","  14.109","  17.912","   4.976","  10.884","  13.210","   3.670"," 51","0"," 39"," 53","  47.241"," 109.000","  30.278","  45.000","  350","    0"
"17:23:12:037","12200748091282","   2.021","  23.944"," 3043"," 1100"," 3300"," 3077","  16.142","  25.994","   7.220","  12.845","  19.641","   5.456"," 52","0"," 41"," 55","  48.208"," 150.000","  41.667","  45.000","  350","    0"
"17:23:12:537","12201896266232","   2.521","  40.111"," 3032","  800"," 3300"," 3063","  19.490","  35.745","   9.929","  15.922","  27.607","   7.669"," 56","0"," 40"," 57","  50.035"," 190.000","  52.778","  45.000","  350","    0"
"17:23:13:045","12203061886232","   3.029","  40.920"," 3083","  900"," 3300"," 3106","  21.462","  46.647","  12.958","  17.877","  36.688","  10.191"," 54","0"," 44"," 57","  51.491"," 234.000","  65.000","  45.000","  350","  700"
"17:23:13:548","12204215029397","   3.532","  21.446"," 2795"," 1100"," 3300"," 2845","  12.962","  53.161","  14.767","   9.510","  41.467","  11.519"," 48","0"," 42"," 54","  48.274"," 276.000","  76.667","  45.000","  350","    0"
"17:23:14:049","12205365091968","   4.033","  26.769"," 2912"," 1100"," 3300"," 2943","  14.923","  60.640","  16.844","  11.605","  47.283","  13.134"," 53","0"," 40"," 57","  48.512"," 316.000","  87.778","  45.000","  350","    0"
"17:23:14:549","12206513641936","   4.533","  48.549"," 3062"," 1100"," 3200"," 3082","  22.792","  72.047","  20.013","  19.179","  56.882","  15.801"," 51","0"," 44"," 59","  52.368"," 360.000"," 100.000","  45.000","  350","    0"
"17:23:15:052","12207666700952","   5.036","   5.651"," 1592"," 1100"," 3200"," 1719","   5.487","  74.804","  20.779","   2.634","  58.205","  16.168"," 46","0"," 41"," 50","  45.316"," 401.000"," 111.389","  45.000","  350","    0"
"17:23:15:553","12208816305568","   5.537","   4.791"," 1953"," 1100"," 3300"," 2062","   4.813","  77.215","  21.449","   2.133","  59.274","  16.465"," 48","0"," 40"," 51","  45.464"," 441.000"," 122.500","  45.000","  350","    0"
"17:23:16:055","12209969539106","   6.039","  11.281"," 2440"," 1100"," 3300"," 2696","   9.103","  81.790","  22.719","   6.243","  62.412","  17.337"," 45","0"," 40"," 53","  46.292"," 481.000"," 133.611","  45.000","  350","    0"
"17:23:16:558","12211123453285","   6.542","   1.155"," 1568"," 1100"," 2800"," 1585","   3.168","  83.383","  23.162","   0.540","  62.683","  17.412"," 46","0"," 36"," 48","  43.593"," 517.000"," 143.611","  45.000","  350","    0"
"17:23:17:060","12212274609020","   7.044","   4.107"," 1734"," 1100"," 2800"," 1756","   3.941","  85.360","  23.711","   1.306","  63.338","  17.594"," 47","0"," 35"," 49","  43.150"," 552.000"," 153.333","  45.000","  350","    0"
"17:23:17:569","12213442109804","   7.552","   1.851"," 1420"," 1100"," 2800"," 1428","   3.371","  87.075","  24.188","   0.717","  63.703","  17.695"," 45","0"," 39"," 47","  43.521"," 591.000"," 164.167","  45.000","  350","    0"
"17:23:18:071","12214596043133","   8.055","   2.377"," 1518"," 1100"," 2800"," 1535","   3.487","  88.829","  24.675","   0.831","  64.121","  17.811"," 42","0"," 39"," 48","  43.951"," 630.000"," 175.000","  45.000","  350","    0"
"17:23:18:574","12215750513229","   8.558","   2.159"," 1454"," 1100"," 2800"," 1461","   3.382","  90.530","  25.147","   0.727","  64.487","  17.913"," 38","0"," 38"," 47","  42.795"," 668.000"," 185.556","  45.000","  350","    0"
"17:23:19:083","12216918486250","   9.067","   2.527"," 1839"," 1100"," 2800"," 1853","   3.608","  92.366","  25.657","   0.916","  64.953","  18.042"," 44","0"," 37"," 48","  43.648"," 705.000"," 195.833","  45.000","  350","    0"
"17:23:19:585","12218070623309","   9.569","   7.926"," 2488"," 1100"," 3300"," 2513","   6.659","  95.710","  26.586","   3.805","  66.864","  18.573"," 45","0"," 37"," 53","  46.213"," 742.000"," 206.111","  45.000","  350","    0"
"17:23:20:088","12219224671441","  10.072","   6.634"," 2485"," 1100"," 3300"," 2517","   6.173","  98.814","  27.448","   3.317","  68.531","  19.037"," 45","0"," 38"," 50","  45.586"," 780.000"," 216.667","  45.000","  350","    0"
"17:23:20:591","12220378558999","  10.575","   3.946"," 1939"," 1100"," 3300"," 1947","   4.070"," 100.861","  28.017","   1.343","  69.207","  19.224"," 43","0"," 38"," 50","  43.774"," 818.000"," 227.222","  45.000","  350","    0"
"17:23:21:100","12221547109290","  11.084","   7.112"," 2402"," 1100"," 3300"," 2429","   6.280"," 104.059","  28.905","   3.389","  70.933","  19.703"," 47","0"," 37"," 54","  46.712"," 855.000"," 237.500","  45.000","  350","    0"
