"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:06:43:382","18193370535644","   0.501","   0.730"," 1687"," 1100"," 2800"," 1689","   3.179","   1.594","   0.443","   0.476","   0.239","   0.066"," 34","0"," 33"," 46","  39.636","  33.000","   9.167","  45.000","  350","    0"
"18:06:43:893","18194542207585","   1.012","  29.839"," 3046"," 1100"," 3300"," 3073","  18.231","  10.902","   3.028","  15.023","   7.909","   2.197"," 47","0"," 34"," 54","  47.471","  67.000","  18.611","  45.000","  350","    0"
"18:06:44:394","18195691852729","   1.513","  20.318"," 3037"," 1100"," 3300"," 3074","  14.404","  18.118","   5.033","  11.167","  13.504","   3.751"," 50","0"," 40"," 53","  47.702"," 107.000","  29.722","  45.000","  350","    0"
"18:06:44:894","18196840355497","   2.013","  22.736"," 3063"," 1100"," 3300"," 3100","  15.784","  26.018","   7.227","  12.514","  19.767","   5.491"," 53","0"," 41"," 54","  48.053"," 148.000","  41.111","  45.000","  350","    0"
"18:06:45:404","18198011112325","   2.523","  38.411"," 3038","  900"," 3300"," 3068","  18.575","  35.495","   9.860","  15.182","  27.513","   7.642"," 56","0"," 42"," 58","  50.224"," 190.000","  52.778","  45.000","  350","    0"
"18:06:45:913","18199178562224","   3.032","  40.830"," 3083"," 1000"," 3300"," 3105","  20.462","  45.904","  12.751","  16.938","  36.130","  10.036"," 50","0"," 42"," 58","  51.795"," 232.000","  64.444","  45.000","  350","    0"
"18:06:46:416","18200332009848","   3.535","  20.288"," 2850"," 1100"," 3300"," 2889","  12.397","  52.135","  14.482","   9.151","  40.730","  11.314"," 51","0"," 41"," 53","  47.872"," 273.000","  75.833","  45.000","  450","  900"
"18:06:46:918","18201485322637","   4.037","  22.082"," 2782"," 1100"," 3300"," 2807","  12.193","  58.263","  16.184","   8.934","  45.220","  12.561"," 53","0"," 40"," 56","  48.000"," 313.000","  86.944","  45.000","  400","  800"
"18:06:47:421","18202639872658","   4.540","  15.503"," 2709"," 1100"," 3300"," 2795","  10.718","  63.656","  17.682","   7.594","  49.041","  13.622"," 48","0"," 41"," 57","  48.969"," 354.000","  98.333","  45.000","  350","    0"
"18:06:47:922","18203788989421","   5.041","   7.846"," 1828"," 1100"," 3300"," 2097","   6.612","  66.967","  18.602","   3.767","  50.927","  14.146"," 47","0"," 40"," 51","  44.566"," 394.000"," 109.444","  45.000","  350","    0"
