,System Time,Variant,Total Elapsed Time (sec),Measured RDTSC Frequency (GHz),Cumulative Package Energy_0 (Joules),Cumulative Package Energy_0 (mWh),Average Package Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0 (mWh),Average Package IA_0 (Watt),Cumulative DRAM Energy_0 (Joules),Cumulative DRAM Energy_0 (mWh),Average Package DRAM_0 (Watt),Average Package Temperature_0(C),Median Package Temperature_0(C),Minimum Package Temperature_0(C),Maximum Package Temperature_0(C)
14,2023-05-22 16:20:30.542009344,chrome_eager,55.718264,2.295,333.177475,92.549299,5.979682,177.63504,49.343067,3.188094,4186.0,1162.777778,75.127968,44.630630630630634,45.0,36.0,54.0
64,2023-05-22 16:21:56.598881792,safari_lazy,55.225007,2.295,326.082382,90.57844,5.904615,169.203995,47.00111,3.063902,4136.0,1148.888889,74.893607,44.74545454545454,46.0,34.0,53.0
11,2023-05-22 16:23:22.705964032,chrome_eager,55.806828,2.295,333.349197,92.596999,5.973269,178.199814,49.499948,3.193154,4141.0,1150.277778,74.20239,44.26126126126126,45.0,35.0,54.0
61,2023-05-22 16:24:49.484196096,safari_lazy,56.559723,2.295,332.215439,92.282066,5.87371,172.07135,47.797597,3.042295,4150.0,1152.777778,73.373768,44.410714285714285,45.0,34.0,52.0
12,2023-05-22 16:26:17.002194688,chrome_eager,57.087766,2.295,335.735992,93.259998,5.88105,177.412842,49.281345,3.107721,4212.0,1170.0,73.781132,44.176991150442475,45.0,34.0,53.0
164,2023-05-22 16:28:04.323481600,safari_eager,96.432071,2.295,391.479324,108.744257,4.059638,129.522919,35.978589,1.343152,6512.0,1808.888889,67.529401,39.45026178010471,40.0,32.0,52.0
114,2023-05-22 16:29:51.954973952,chrome_lazy,57.552303,2.295,362.954254,100.820626,6.306511,200.316528,55.64348,3.4806,4193.0,1164.722222,72.855468,44.06140350877193,46.0,32.0,52.0
111,2023-05-22 16:31:20.106860032,chrome_lazy,57.538065,2.295,367.353775,102.042715,6.384535,204.392532,56.775703,3.552301,4247.0,1179.722222,73.812006,44.3859649122807,46.0,32.0,53.0
62,2023-05-22 16:32:48.004562688,safari_lazy,56.586126,2.295,316.943665,88.039907,5.601084,157.570496,43.769582,2.784614,4139.0,1149.722222,73.145139,43.892857142857146,45.0,33.0,52.0
161,2023-05-22 16:34:15.216759040,safari_eager,56.615033,2.295,262.795013,72.998615,4.641789,108.984741,30.273539,1.925014,4013.0,1114.722222,70.882233,42.160714285714285,43.0,32.0,53.0
162,2023-05-22 16:35:42.419446528,safari_eager,56.568344,2.295,263.744965,73.26249,4.662413,109.887558,30.524322,1.942563,3961.0,1100.277778,70.021495,41.74107142857143,43.0,32.0,54.0
112,2023-05-22 16:37:10.070272256,chrome_lazy,57.454767,2.295,360.875092,100.243081,6.28103,198.739853,55.205515,3.459066,4184.0,1162.222222,72.822503,43.89473684210526,45.0,32.0,53.0
101,2023-05-22 16:38:37.892274176,chrome_lazy,56.973803,2.295,362.166229,100.60173,6.356715,200.806702,55.779639,3.524544,4212.0,1170.0,73.928714,44.43362831858407,46.0,32.0,52.0
1,2023-05-22 16:40:05.494752,chrome_eager,56.956944,2.295,336.498993,93.471942,5.907954,178.093597,49.470444,3.126811,4219.0,1171.944444,74.073496,44.469026548672566,45.0,33.0,53.0
4,2023-05-22 16:41:33.055035136,chrome_eager,56.917799,2.295,337.762344,93.822873,5.934213,179.175949,49.771097,3.147978,4215.0,1170.833333,74.054164,44.6283185840708,46.0,34.0,53.0
104,2023-05-22 16:43:00.852184320,chrome_lazy,57.423204,2.295,365.601303,101.555918,6.366787,202.424957,56.229155,3.525142,4288.0,1191.111111,74.673646,44.74561403508772,46.0,33.0,55.0
108,2023-05-22 16:44:28.914517760,chrome_lazy,57.42529,2.295,362.59024,100.719511,6.314121,199.853607,55.514891,3.480237,4285.0,1190.277778,74.618692,45.03508771929825,46.0,33.0,55.0
8,2023-05-22 16:45:56.719327744,chrome_eager,56.958327,2.295,337.9776,93.882667,5.93377,179.085953,49.746098,3.144158,4268.0,1185.555556,74.931977,44.80530973451327,45.0,35.0,55.0
151,2023-05-22 16:47:43.931994624,safari_eager,96.304548,2.295,396.01976,110.005489,4.112161,133.053314,36.959254,1.381589,6604.0,1834.444444,68.574124,40.04188481675393,41.0,33.0,55.0
154,2023-05-22 16:49:31.030348032,safari_eager,56.475922,2.295,265.552521,73.764589,4.702048,111.478806,30.966335,1.973917,3972.0,1103.333333,70.330857,41.75,43.0,33.0,52.0
51,2023-05-22 16:50:58.353468928,safari_lazy,56.943154,2.295,317.889511,88.302642,5.582576,157.56398,43.767772,2.76704,4107.0,1140.833333,72.124561,43.07079646017699,44.0,33.0,50.0
158,2023-05-22 16:52:25.702357248,safari_eager,56.591002,2.295,264.184601,73.384611,4.668315,110.235168,30.62088,1.947927,3986.0,1107.222222,70.435226,41.401785714285715,42.0,33.0,53.0
157,2023-05-22 16:53:52.930017792,safari_eager,56.565459,2.295,264.947647,73.596569,4.683912,110.997253,30.83257,1.96228,3954.0,1098.333333,69.901315,42.25,43.0,33.0,52.0
54,2023-05-22 16:55:20.498150656,safari_lazy,56.996383,2.295,317.600372,88.222326,5.57229,157.072601,43.631278,2.755835,4103.0,1139.722222,71.987024,43.469026548672566,44.0,34.0,50.0
