"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:09:24:902","43348315224225","   0.500","   0.924"," 1706"," 1100"," 2300"," 1693","   3.428","   1.715","   0.476","   0.552","   0.276","   0.077"," 36","0"," 34"," 46","  40.689","  34.000","   9.444","  45.000","  350","    0"
"21:09:25:414","43349490267723","   1.012","  26.658"," 3054"," 1100"," 3300"," 3086","  17.348","  10.597","   2.944","  14.207","   7.551","   2.098"," 50","0"," 36"," 54","  46.885","  70.000","  19.444","  45.000","  350","    0"
"21:09:25:923","43350657261740","   1.521","  27.292"," 3070"," 1200"," 3300"," 3095","  16.972","  19.229","   5.341","  13.816","  14.578","   4.049"," 51","0"," 40"," 54","  48.403"," 110.000","  30.556","  45.000","  350","    0"
"21:09:26:424","43351808733486","   2.023","  16.740"," 3005"," 1100"," 3300"," 3024","  11.743","  25.121","   6.978","   8.590","  18.888","   5.247"," 40","0"," 40"," 54","  49.180"," 150.000","  41.667","  45.000","  350","    0"
"21:09:26:927","43352962741236","   2.525","   1.142"," 1563"," 1100"," 2800"," 1570","   3.320","  26.790","   7.442","   0.568","  19.173","   5.326"," 35","0"," 34"," 47","  41.246"," 184.000","  51.111","  45.000","  350","    0"
"21:09:27:430","43354117023974","   3.028","   1.018"," 1539"," 1100"," 2800"," 1549","   3.269","  28.435","   7.899","   0.529","  19.440","   5.400"," 35","0"," 34"," 46","  41.386"," 218.000","  60.556","  45.000","  350","    0"
"21:09:27:935","43355275223741","   3.533","   0.985"," 1558"," 1100"," 2800"," 1584","   3.280","  30.090","   8.358","   0.538","  19.711","   5.475"," 35","0"," 34"," 46","  40.888"," 252.000","  70.000","  45.000","  350","    0"
"21:09:28:441","43356437396498","   4.039","   0.989"," 1566"," 1100"," 2800"," 1577","   3.276","  31.749","   8.819","   0.540","  19.985","   5.551"," 35","0"," 34"," 46","  40.583"," 286.000","  79.444","  45.000","  350","    0"
"21:09:28:942","43357587111627","   4.540","   0.988"," 1574"," 1100"," 2800"," 1572","   3.267","  33.386","   9.274","   0.530","  20.250","   5.625"," 35","0"," 34"," 46","  39.472"," 320.000","  88.889","  45.000","  350","    0"
"21:09:29:443","43358736563591","   5.041","   1.088"," 1584"," 1100"," 2800"," 1611","   3.302","  35.040","   9.733","   0.556","  20.529","   5.702"," 46","0"," 34"," 46","  39.929"," 354.000","  98.333","  45.000","  350","    0"
