"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"17:08:34:712","10187426785043","   0.501","   0.723"," 1699"," 1100"," 2800"," 1701","   3.165","   1.586","   0.441","   0.466","   0.234","   0.065"," 35","0"," 34"," 46","  41.725","  34.000","   9.444","  45.000","  350","    0"
"17:08:35:223","10188598154309","   1.012","  27.930"," 3061"," 1200"," 3300"," 3099","  17.986","  10.767","   2.991","  14.859","   7.819","   2.172"," 49","0"," 34"," 53","  45.576","  68.000","  18.889","  45.000","  350","    0"
"17:08:35:723","10189746369126","   1.512","  29.243"," 3077"," 1200"," 3300"," 3110","  17.756","  19.651","   5.459","  14.598","  15.123","   4.201"," 48","0"," 39"," 53","  46.899"," 107.000","  29.722","  45.000","  350","    0"
"17:08:36:225","10190897792806","   2.014","  17.014"," 2987"," 1100"," 3300"," 3007","  11.726","  25.535","   7.093","   8.729","  19.502","   5.417"," 43","0"," 35"," 53","  48.157"," 142.000","  39.444","  45.000","  350","    0"
"17:08:36:727","10192051764389","   2.517","   9.658"," 2765"," 1100"," 3300"," 2812","   7.972","  29.544","   8.207","   5.014","  22.024","   6.118"," 48","0"," 35"," 51","  43.990"," 177.000","  49.167","  45.000","  350","    0"
"17:08:37:233","10193212129753","   3.022","  24.211"," 2947"," 1100"," 3300"," 3000","  15.097","  37.178","  10.327","  11.939","  28.061","   7.795"," 47","0"," 38"," 54","  46.047"," 215.000","  59.722","  45.000","  350","  700"
"17:08:37:739","10194373342597","   3.528","   5.429"," 1661"," 1100"," 3300"," 1744","   5.681","  40.052","  11.126","   2.709","  29.432","   8.175"," 45","0"," 38"," 48","  42.535"," 253.000","  70.278","  45.000","  350","    0"
"17:08:38:242","10195526546088","   4.031","   3.380"," 1435"," 1100"," 3200"," 1463","   4.448","  42.288","  11.747","   1.644","  30.258","   8.405"," 37","0"," 37"," 46","  41.292"," 290.000","  80.556","  45.000","  350","    0"
"17:08:38:745","10196680841223","   4.534","   0.815"," 1506"," 1100"," 2800"," 1526","   3.009","  43.801","  12.167","   0.439","  30.479","   8.466"," 35","0"," 34"," 45","  39.150"," 324.000","  90.000","  45.000","  350","    0"
"17:08:39:248","10197834954083","   5.037","   0.950"," 1652"," 1100"," 2800"," 1674","   3.065","  45.343","  12.595","   0.492","  30.726","   8.535"," 38","0"," 34"," 45","  39.483"," 358.000","  99.444","  45.000","  350","    0"
"17:08:39:750","10198989123330","   5.540","   2.770"," 2047"," 1100"," 3300"," 2057","   3.997","  47.353","  13.154","   1.254","  31.357","   8.710"," 35","0"," 34"," 47","  42.219"," 392.000"," 108.889","  45.000","  350","    0"
"17:08:40:257","10200151739588","   6.046","   0.755"," 1523"," 1100"," 2800"," 1524","   3.005","  48.875","  13.576","   0.435","  31.577","   8.771"," 35","0"," 34"," 45","  39.263"," 426.000"," 118.333","  45.000","  350","    0"
"17:08:40:760","10201305550077","   6.549","   0.687"," 1544"," 1100"," 2800"," 1548","   2.985","  50.376","  13.993","   0.417","  31.787","   8.830"," 35","0"," 34"," 45","  38.282"," 460.000"," 127.778","  45.000","  350","    0"
"17:08:41:263","10202459680516","   7.052","   0.692"," 1524"," 1100"," 2800"," 1542","   2.985","  51.878","  14.410","   0.418","  31.997","   8.888"," 35","0"," 34"," 44","  39.648"," 494.000"," 137.222","  45.000","  350","    0"
"17:08:41:766","10203613797155","   7.555","   0.813"," 1495"," 1100"," 2800"," 1501","   3.024","  53.399","  14.833","   0.446","  32.222","   8.950"," 45","0"," 34"," 46","  40.694"," 528.000"," 146.667","  45.000","  350","    0"
"17:08:42:267","10204763490459","   8.056","  12.644"," 2697"," 1100"," 3300"," 2744","   8.854","  57.835","  16.065","   5.910","  35.182","   9.773"," 51","0"," 36"," 52","  44.485"," 564.000"," 156.667","  45.000","  350","    0"
"17:08:42:774","10205927141335","   8.563","   7.509"," 1855"," 1100"," 3200"," 1928","   6.402","  61.081","  16.967","   3.369","  36.891","  10.248"," 45","0"," 37"," 52","  42.167"," 601.000"," 166.944","  45.000","  350","    0"
"17:08:43:276","10207080559046","   9.066","   6.789"," 1675"," 1100"," 3100"," 1716","   5.638","  63.915","  17.754","   2.695","  38.246","  10.624"," 44","0"," 37"," 48","  41.595"," 638.000"," 177.222","  45.000","  350","    0"
"17:08:43:782","10208240954244","   9.571","   5.875"," 1953"," 1100"," 3300"," 1977","   4.775","  66.330","  18.425","   2.012","  39.263","  10.906"," 46","0"," 37"," 47","  42.032"," 675.000"," 187.500","  45.000","  350","    0"
"17:08:44:288","10209403059982","  10.078","   9.570"," 2655"," 1100"," 3300"," 2701","   7.551","  70.153","  19.487","   4.538","  41.561","  11.545"," 40","0"," 38"," 53","  45.395"," 713.000"," 198.056","  45.000","  350","    0"
"17:08:44:795","10210565694279","  10.584","   4.403"," 1643"," 1100"," 2800"," 1664","   4.096","  72.228","  20.063","   1.318","  42.229","  11.730"," 44","0"," 38"," 47","  41.971"," 751.000"," 208.611","  45.000","  350","    0"
"17:08:45:297","10211717781368","  11.086","   3.898"," 1697"," 1100"," 2800"," 1704","   3.963","  74.218","  20.616","   1.241","  42.852","  11.903"," 43","0"," 37"," 47","  42.323"," 788.000"," 218.889","  45.000","  350","    0"
"17:08:45:803","10212879358855","  11.592","  13.926"," 2638"," 1100"," 3300"," 2698","   9.996","  79.278","  22.022","   6.876","  46.333","  12.870"," 46","0"," 38"," 52","  45.272"," 826.000"," 229.444","  45.000","  350","    0"
"17:08:46:310","10214042040309","  12.099","   6.916"," 1608"," 1100"," 3300"," 1695","   5.843","  82.238","  22.844","   2.891","  47.797","  13.277"," 46","0"," 38"," 47","  41.039"," 864.000"," 240.000","  45.000","  350","  700"
"17:08:46:812","10215193390656","  12.601","   4.378"," 1696"," 1100"," 2800"," 1711","   4.326","  84.409","  23.447","   1.511","  48.555","  13.488"," 43","0"," 38"," 47","  42.143"," 902.000"," 250.556","  45.000","  350","    0"
"17:08:47:315","10216347646861","  13.104","  11.488"," 2594"," 1100"," 3300"," 2631","   8.279","  88.573","  24.604","   5.221","  51.182","  14.217"," 43","0"," 37"," 51","  44.653"," 939.000"," 260.833","  45.000","  350","    0"
"17:08:47:816","10217497299990","  13.605","   3.638"," 1749"," 1100"," 2800"," 1772","   3.888","  90.521","  25.145","   1.180","  51.773","  14.381"," 45","0"," 38"," 46","  42.047"," 977.000"," 271.389","  45.000","  350","    0"
"17:08:48:318","10218650454899","  14.107","   4.119"," 1716"," 1100"," 2800"," 1727","   4.113","  92.588","  25.719","   1.335","  52.444","  14.568"," 44","0"," 37"," 46","  41.348","1014.000"," 281.667","  45.000","  350","    0"
"17:08:48:828","10219821033594","  14.617","  10.084"," 2575"," 1100"," 3300"," 2629","   7.684","  96.508","  26.808","   4.765","  54.874","  15.243"," 47","0"," 37"," 53","  44.852","1051.000"," 291.944","  45.000","  350","    0"
"17:08:49:339","10220992087959","  15.128","   6.888"," 1861"," 1100"," 3200"," 1959","   6.257","  99.701","  27.695","   3.276","  56.546","  15.707"," 44","0"," 38"," 48","  42.503","1089.000"," 302.500","  45.000","  350","    0"
"17:08:49:847","10222158082628","  15.636","   6.133"," 1586"," 1100"," 3200"," 1633","   5.216"," 102.351","  28.431","   2.331","  57.730","  16.036"," 45","0"," 38"," 46","  41.079","1127.000"," 313.056","  45.000","  350","  700"
"17:08:50:350","10223313411559","  16.139","   5.507"," 1804"," 1100"," 3200"," 1831","   4.443"," 104.588","  29.052","   1.669","  58.571","  16.270"," 47","0"," 37"," 48","  41.996","1164.000"," 323.333","  45.000","  350","    0"
"17:08:50:859","10224481095422","  16.648","  11.601"," 2789"," 1100"," 3300"," 2817","   8.961"," 109.148","  30.319","   5.876","  61.561","  17.100"," 45","0"," 38"," 53","  45.610","1202.000"," 333.889","  45.000","  350","    0"
"17:08:51:360","10225630672751","  17.149","   3.595"," 1604"," 1100"," 2800"," 1614","   3.872"," 111.087","  30.858","   1.145","  62.135","  17.260"," 43","0"," 38"," 46","  42.281","1240.000"," 344.444","  45.000","  350","    0"
"17:08:51:862","10226782132821","  17.651","   3.702"," 1674"," 1100"," 2800"," 1689","   3.845"," 113.016","  31.393","   1.135","  62.704","  17.418"," 39","0"," 36"," 46","  41.692","1276.000"," 354.444","  45.000","  350","    0"
"17:08:52:372","10227952774686","  18.161","  19.369"," 2855"," 1100"," 3300"," 2907","  11.957"," 119.116","  33.088","   8.702","  67.144","  18.651"," 47","0"," 37"," 53","  46.471","1313.000"," 364.722","  45.000","  350","    0"
"17:08:52:880","10229118359431","  18.669","   6.833"," 1715"," 1100"," 3200"," 1789","   6.012"," 122.170","  33.936","   3.034","  68.685","  19.079"," 46","0"," 38"," 49","  42.329","1351.000"," 375.278","  45.000","  350","    0"
"17:08:53:381","10230267946354","  19.170","   4.549"," 1595"," 1100"," 2800"," 1631","   4.352"," 124.350","  34.542","   1.577","  69.475","  19.299"," 44","0"," 38"," 47","  41.623","1389.000"," 385.833","  45.000","  350","    0"
"17:08:53:883","10231421555872","  19.672","  11.896"," 2556"," 1100"," 3300"," 2582","   8.287"," 128.516","  35.699","   5.265","  72.121","  20.034"," 47","0"," 37"," 52","  44.209","1426.000"," 396.111","  45.000","  350","    0"
"17:08:54:386","10232575672412","  20.175","   3.418"," 1597"," 1100"," 2800"," 1605","   3.874"," 130.464","  36.240","   1.111","  72.680","  20.189"," 43","0"," 37"," 47","  42.148","1463.000"," 406.389","  45.000","  350","    0"
"17:08:54:895","10233742870048","  20.684","   3.185"," 1697"," 1100"," 2800"," 1710","   3.783"," 132.388","  36.774","   1.070","  73.224","  20.340"," 39","0"," 38"," 46","  41.797","1501.000"," 416.944","  45.000","  350","    0"
"17:08:55:405","10234912670119","  21.194","  10.989"," 2576"," 1100"," 3200"," 2613","   7.623"," 136.274","  37.854","   4.709","  75.625","  21.007"," 51","0"," 38"," 52","  44.622","1539.000"," 427.500","  45.000","  350","    0"
"17:08:55:909","10236071263684","  21.698","   7.457"," 1912"," 1100"," 3300"," 2020","   6.673"," 139.643","  38.790","   3.643","  77.464","  21.518"," 45","0"," 38"," 52","  44.122","1577.000"," 438.056","  45.000","  350","    0"
"17:08:56:411","10237223364660","  22.201","   6.256"," 1658"," 1100"," 3100"," 1709","   5.369"," 142.339","  39.539","   2.490","  78.714","  21.865"," 44","0"," 38"," 47","  41.408","1615.000"," 448.611","  45.000","  350","    0"
"17:08:56:920","10238390378047","  22.709","   5.222"," 1907"," 1100"," 3200"," 1938","   4.538"," 144.646","  40.180","   1.792","  79.625","  22.118"," 46","0"," 37"," 48","  42.505","1652.000"," 458.889","  45.000","  350","    0"
"17:08:57:428","10239556143577","  23.217","   8.982"," 2540"," 1100"," 3300"," 2576","   7.142"," 148.275","  41.187","   4.155","  81.736","  22.705"," 39","0"," 39"," 51","  45.120","1691.000"," 469.722","  45.000","  350","    0"
"17:08:57:931","10240710372380","  23.720","   3.610"," 1533"," 1100"," 2800"," 1528","   3.841"," 150.207","  41.724","   1.115","  82.297","  22.860"," 44","0"," 37"," 46","  42.063","1728.000"," 480.000","  45.000","  350","    0"
"17:08:58:434","10241864973253","  24.223","   3.527"," 1657"," 1100"," 2800"," 1670","   3.875"," 152.157","  42.266","   1.158","  82.880","  23.022"," 43","0"," 38"," 46","  41.998","1766.000"," 490.556","  45.000","  350","    0"
"17:08:58:936","10243017199532","  24.725","  12.652"," 2537"," 1100"," 3300"," 2620","   9.338"," 156.845","  43.568","   6.225","  86.005","  23.890"," 46","0"," 36"," 53","  44.735","1802.000"," 500.556","  45.000","  350","    0"
"17:08:59:443","10244179368441","  25.232","   6.470"," 1680"," 1100"," 3300"," 1768","   5.906"," 159.836","  44.399","   2.985","  87.517","  24.310"," 45","0"," 38"," 50","  42.181","1840.000"," 511.111","  45.000","  350","    0"
"17:08:59:945","10245331423774","  25.734","   3.496"," 1642"," 1100"," 3300"," 1715","   4.103"," 161.896","  44.971","   1.367","  88.203","  24.501"," 40","0"," 37"," 48","  42.816","1877.000"," 521.389","  45.000","  350","    0"
"17:09:00:448","10246485833483","  26.237","  11.245"," 2600"," 1100"," 3300"," 2635","   7.940"," 165.890","  46.081","   4.945","  90.691","  25.192"," 40","0"," 37"," 51","  44.681","1914.000"," 531.667","  45.000","  350","    0"
"17:09:00:951","10247640029033","  26.740","   4.014"," 1729"," 1100"," 3200"," 1743","   4.161"," 167.983","  46.662","   1.372","  91.381","  25.384"," 44","0"," 38"," 46","  42.241","1952.000"," 542.222","  45.000","  350","    0"
"17:09:01:454","10248794235947","  27.243","   3.285"," 1589"," 1100"," 2800"," 1614","   3.774"," 169.881","  47.189","   1.062","  91.915","  25.532"," 44","0"," 38"," 46","  42.082","1990.000"," 552.778","  45.000","  350","    0"
"17:09:01:959","10249954349341","  27.748","  11.070"," 2583"," 1100"," 3300"," 2626","   8.141"," 173.997","  48.332","   5.149","  94.518","  26.255"," 49","0"," 38"," 53","  44.839","2028.000"," 563.333","  45.000","  350","    0"
